SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 6 0 0
2 14 0 0
3 22 0 0
4 30 0 0
5 37 0 0
6 41 0 0
7 46 0 0
8 50 0 1
9 53 0 1
10 53 0 3
11 55 0 4
12 53 0 7
13 57 0 7
14 61 0 7
15 63 0 8
16 62 0 10
17 64 0 11
18 64 0 13
19 65 0 14
20 63 0 17
21 64 0 17
22 63 1 19
23 63 1 21
24 65 1 21
25 65 1 22
26 64 1 24
27 65 1 25
28 67 1 25
29 68 1 26
30 67 1 30
31 68 1 32
32 70 1 32
33 71 1 32
34 71 1 34
35 69 1 39
36 71 1 40
37 74 1 40
38 74 1 41
39 74 1 43
40 71 1 48
41 72 1 49
42 73 1 50
43 75 1 50
44 73 1 52
45 69 1 58
46 70 1 59
47 74 1 59
48 76 1 59
49 75 1 60
50 74 1 62
