SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 6 0 0
2 14 0 0
3 22 0 0
4 30 0 0
5 38 0 0
6 44 0 0
7 50 0 0
8 55 0 1
9 59 0 1
10 60 0 3
11 63 0 4
12 62 0 7
13 67 0 7
14 71 0 7
15 73 0 8
16 72 0 10
17 73 0 12
18 73 0 14
19 75 0 14
20 74 0 17
21 73 0 20
22 73 0 21
23 75 0 22
24 75 0 24
25 74 0 26
26 72 0 28
27 74 0 29
28 73 0 31
29 75 0 31
30 78 0 31
31 79 0 32
32 77 0 35
33 79 0 35
34 79 0 37
35 85 0 37
36 86 0 38
37 83 0 41
38 81 0 43
39 83 0 45
40 87 0 46
41 88 0 48
42 87 0 49
43 85 0 51
44 84 0 53
45 82 0 57
46 85 0 58
47 85 0 60
48 85 0 61
49 83 0 63
50 85 0 64
