PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 3.32 1 3 0
playerVirtual2 3 1.33 1 2 0
playerVirtual0 3 0 1 1 0
-------
playerVirtual1 2 9.29 1 7 0
playerVirtual2 3 1.33 1 2 0
playerVirtual0 3 0 1 1 0
playerVirtual3 3 3.32 1 4 0
-------
playerVirtual1 1 9.29 1 7 0
playerVirtual2 3 1.33 1 2 0
playerVirtual0 3 0 1 1 0
playerVirtual3 2 9.3 1 9 0
playerVirtual4 3 0 1 3 0
-------
playerVirtual1 1 9.29 0.875 7 0
playerVirtual2 3 -0.67 0.857142857142857 2 2
playerVirtual0 3 -2 0.857142857142857 1 2
playerVirtual3 2 8.3 0.8 9 1
playerVirtual4 3 0.33 0.333333333333333 5 1
-------
playerVirtual1 1 9.29 0.777777777777778 7 0
playerVirtual2 3 -3.67 0.666666666666667 2 5
playerVirtual0 3 -3 0.666666666666667 1 3
playerVirtual3 2 7.3 0.666666666666667 9 2
playerVirtual4 3 -1.67 0.25 5 3
-------
playerVirtual1 1 9.29 0.7 7 0
playerVirtual2 3 -6.67 0.6 2 8
playerVirtual0 3 -5 0.6 1 5
playerVirtual3 2 6.3 0.5 9 3
playerVirtual4 3 -2.67 0.166666666666667 5 4
-------
playerVirtual1 1 9.29 0.583333333333333 7 0
playerVirtual2 3 -8.67 0.545454545454545 2 10
playerVirtual0 3 -6 0.545454545454545 1 6
playerVirtual3 2 4.3 0.444444444444444 9 5
playerVirtual4 3 -3.67 0.142857142857143 5 5
-------
playerVirtual1 1 9.29 0.615384615384615 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 2 4.3 0.4 10 5
playerVirtual4 4 -5.67 0.125 5 7
-------
playerVirtual1 1 9.29 0.571428571428571 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 2 3.3 0.363636363636364 10 6
playerVirtual4 4 -5.67 0.125 5 7
-------
playerVirtual1 1 9.29 0.571428571428571 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 2 3.3 0.333333333333333 10 6
playerVirtual4 4 -5.67 0.125 5 7
-------
playerVirtual1 1 9.29 0.6 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 2 5.29 0.333333333333333 11 6
playerVirtual4 4 -5.67 0.125 5 7
-------
playerVirtual1 1 9.29 0.5625 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 2 4.29 0.307692307692308 11 7
playerVirtual4 4 -5.67 0.125 5 7
-------
playerVirtual1 1 9.29 0.5625 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 2 4.29 0.307692307692308 11 7
playerVirtual4 4 -5.67 0.125 5 7
-------
playerVirtual1 1 9.29 0.529411764705882 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 2 3.29 0.285714285714286 11 8
playerVirtual4 4 -5.67 0.125 5 7
-------
playerVirtual1 1 9.29 0.5 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 3 2.29 0.266666666666667 11 9
playerVirtual4 4 -5.67 0.125 5 7
-------
playerVirtual1 1 9.29 0.526315789473684 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 3 2.29 0.3125 11 9
playerVirtual4 4 -5.67 0.125 5 7
playerVirtual5 3 2.66 0 2 0
-------
playerVirtual1 1 9.29 0.55 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 3 2.29 0.352941176470588 11 9
playerVirtual4 4 -5.67 0.125 5 7
playerVirtual5 3 2.66 0 4 0
-------
playerVirtual1 1 9.29 0.55 7 0
playerVirtual2 4 -10.67 0.5 2 12
playerVirtual0 4 -7 0.461538461538462 1 7
playerVirtual3 3 0.289999999999999 0.388888888888889 11 11
playerVirtual4 4 -5.67 0.125 5 7
