NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual13 4 -2.34 0 0.8 0 1
playerVirtual12 4 -2 0 1 0 1
playerVirtual14 4 -0.34 0 0.5 0 1
playerVirtual16 4 -0.67 0 0 0 1
playerVirtual15 4 -0.67 0 1 0 1
playerVirtual17 4 -2 0 1 0 1
playerVirtual18 4 -2 0 0 0 1
playerVirtual20 4 -1 0 0 0 1
playerVirtual19 4 -1 0 0 0 1
playerVirtual21 4 -1 0 0 0 1
playerVirtual22 4 -1 0 0 0 1
playerVirtual24 4 -1 0 0 0 1
playerVirtual23 4 -1 0 0 0 1
playerVirtual25 4 -1 0 0 0 1
playerVirtual26 4 -1 0 0 0 1
playerVirtual27 4 -1 0 0 0 1
playerVirtual28 4 -1 0 0 0 1
playerVirtual29 4 -1 0 0 0 1
playerVirtual30 4 -1 0 0 0 1
playerVirtual31 4 -1 0 0 0 1
playerVirtual33 4 -1 0 0 0 1
playerVirtual32 4 -1 0 0 0 1
playerVirtual34 4 -1 0 0 0 1
playerVirtual35 4 -1 0 0 0 1
playerVirtual36 4 -1 0 0 0 1
playerVirtual37 4 -1 0 0 0 1
playerVirtual38 4 -1 0 0 0 1
playerVirtual39 4 -1 0 0 0 1
playerVirtual41 4 -1 0 0 0 1
playerVirtual40 4 -1 0 0 0 1
playerVirtual42 4 -1 0 0 0 1
playerVirtual43 4 -1 0 0 0 1
playerVirtual45 4 -1 0 0 0 1
playerVirtual44 4 -1 0 0 0 1
playerVirtual46 4 -1 0 0 0 1
playerVirtual47 4 -1 0 0 0 1
playerVirtual48 4 -1 0 0 0 1
playerVirtual49 4 -1 0 0 0 1
playerVirtual50 4 -1 0 0 0 1
playerVirtual51 4 -1 0 0 0 1
playerVirtual53 4 -1 0 0 0 1
playerVirtual52 4 -1 0 0 0 1
playerVirtual54 4 -1 0 0 0 1
playerVirtual57 4 -1 0 0 0 1
playerVirtual55 4 -1 0 0 0 1
playerVirtual56 4 -1 0 0 0 1
playerVirtual58 4 -1 0 0 0 1
playerVirtual59 4 -1 0 0 0 1
playerVirtual60 4 -1 0 0 0 1
playerVirtual61 4 -1 0 0 0 1
playerVirtual62 4 -1 0 0 0 1
playerVirtual63 4 -1 0 0 0 1
playerVirtual64 4 -1 0 0 0 1
playerVirtual65 4 -1 0 0 0 1
playerVirtual66 4 -1 0 0 0 1
playerVirtual67 4 -1 0 0 0 1
playerVirtual68 4 -1 0 0 0 1
playerVirtual69 4 -1 0 0 0 1
playerVirtual70 4 -1 0 0 0 1
playerVirtual71 4 -1 0 0 0 1
playerVirtual72 4 -1 0 0 0 1
playerVirtual73 4 -2 0 0 0 1
playerVirtual75 4 -1 0 0 0 1
playerVirtual77 4 -1 0 0 0 1
playerVirtual74 4 -2 0 0 0 1
playerVirtual76 4 -2 0 0 0 1
playerVirtual79 4 -2 0 0 0 1
playerVirtual81 4 -2 0 0.5 0 1
playerVirtual78 4 -2 0 0 0 1
playerVirtual83 4 -2 0 0 0 1
playerVirtual85 4 -2 0 0 0 1
playerVirtual82 4 -2 0 0 0 1
playerVirtual84 4 -2 0 0 0 1
playerVirtual87 4 -1 0 0 0 1
playerVirtual89 4 -2 0 0 0 1
playerVirtual86 4 -2 0 0 0 1
playerVirtual88 4 -1 0 0 0 1
playerVirtual91 4 -1 0 0 0 1
playerVirtual92 4 -1 0 0 0 1
playerVirtual90 4 -1 0 0 0 1
playerVirtual93 4 -1 0 0 0 1
playerVirtual97 4 -1 0 0 0 1
playerVirtual94 4 -1 0 0 0 1
playerVirtual95 4 -1 0 0 0 1
playerVirtual96 4 -1 0 0 0 1
