SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 16 0 0
2 31 0 0
3 33 1 0
4 34 1 2
5 31 3 4
6 29 4 5
7 27 6 5
8 26 6 6
9 25 7 6
10 25 7 6
11 25 7 6
12 25 7 6
13 25 7 6
14 24 7 7
15 23 7 8
16 22 8 8
17 21 8 9
18 21 8 9
19 21 8 9
20 21 8 9
21 21 8 9
22 24 8 9
23 23 8 11
24 24 8 12
25 24 8 13
26 23 9 14
27 23 9 14
28 25 9 14
29 26 9 14
30 26 9 14
31 26 9 14
32 26 9 14
33 26 9 14
34 26 9 14
35 27 9 14
36 26 9 15
37 27 9 15
38 27 9 15
39 27 9 15
40 27 9 15
41 27 9 15
42 27 9 15
43 27 9 15
44 27 9 15
45 27 9 15
46 27 9 15
47 27 9 15
48 27 9 15
49 27 9 15
50 27 9 15
