NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
playerVirtual1 0 0 0 0
playerVirtual1 1 1 9 8
playerVirtual1 2 0.5 9 16
playerVirtual1 3 0.333333 9 24
playerVirtual1 4 0.333333 9 32
playerVirtual1 5 0.333333 9 40
playerVirtual1 6 0.333333 9 48
playerVirtual1 7 0.333333 9 56
playerVirtual1 8 0.333333 9 64
playerVirtual1 9 0.25 9 72
playerVirtual1 10 0.25 9 80
playerVirtual1 11 0.25 9 88
playerVirtual1 12 0.25 9 88
playerVirtual1 13 0.25 9 88
playerVirtual1 14 0.25 9 88
playerVirtual1 15 0.25 9 88
playerVirtual1 16 0.25 9 88
playerVirtual1 17 0.4 9 88
playerVirtual1 18 0.4 9 88
playerVirtual1 19 0.4 9 88
playerVirtual1 20 0.4 9 88
playerVirtual1 21 0.4 9 88
playerVirtual1 22 0.4 9 88
playerVirtual1 23 0.4 9 88
playerVirtual1 24 0.4 9 88
playerVirtual1 25 0.4 9 88
playerVirtual1 26 0.4 9 88
playerVirtual1 27 0.4 9 88
playerVirtual1 28 0.4 9 88
playerVirtual1 29 0.5 9 88
playerVirtual1 30 0.5 9 88
playerVirtual1 31 0.5 9 88
playerVirtual1 32 0.5 9 88
playerVirtual1 33 0.5 9 88
playerVirtual1 34 0.5 9 88
playerVirtual1 35 0.5 9 88
playerVirtual1 36 0.5 9 88
playerVirtual1 37 0.5 9 88
playerVirtual1 38 0.5 9 88
