NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual1 3 7.97 29 1 1 0
playerVirtual11 3 9.3 29 1 1 0
playerVirtual4 3 11.29 29 0.909091 1 0
playerVirtual8 3 9.3 29 1 1 0
playerVirtual2 3 11.95 29 0.75 1 0
playerVirtual13 3 12.61 29 1 1 0
playerVirtual3 3 12.61 29 0.888889 1 0
playerVirtual6 3 8.63 29 1 1 0
playerVirtual15 3 9.29 29 0.875 1 0
playerVirtual17 3 7.97 29 1 1 0
playerVirtual19 3 8.63 29 1 1 0
playerVirtual5 3 13.28 29 1 1 0
playerVirtual9 3 4.97 29 1 1 0
playerVirtual7 3 5.32 29 1 1 0
playerVirtual14 3 8.63 29 1 1 0
playerVirtual12 3 13.28 29 1 1 0
playerVirtual0 3 11.95 29 1 1 0
playerVirtual16 3 11.29 29 1 1 0
playerVirtual18 3 9.29 29 1 1 0
playerVirtual10 3 9.96 29 1 1 0
