NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
 0
playerVirtual1 1 1 99 10
playerVirtual1 2 1 99 10
playerVirtual1 3 1 99 10
playerVirtual1 4 1 99 10
playerVirtual1 5 1 99 10
playerVirtual1 6 1 99 10
playerVirtual1 7 1 99 10
playerVirtual1 8 1 99 10
playerVirtual1 8 1 99 10
playerVirtual1 9 1 99 10
playerVirtual1 10 1 99 10
playerVirtual1 11 1 99 10
playerVirtual1 12 1 99 10
playerVirtual1 13 1 99 10
playerVirtual1 14 1 99 10
playerVirtual1 15 1 99 10
playerVirtual1 16 1 99 10
playerVirtual1 17 1 99 10
playerVirtual1 18 1 99 10
playerVirtual1 19 1 99 10
playerVirtual1 20 1 99 10
playerVirtual1 21 1 99 10
playerVirtual1 22 1 99 10
playerVirtual1 23 1 99 10
playerVirtual1 24 1 99 10
playerVirtual1 25 1 99 10
playerVirtual1 26 1 99 10
playerVirtual1 27 1 99 10
playerVirtual1 28 1 99 10
playerVirtual1 29 1 99 10
