PLAYERS REQUESTS FAIRNESS FREERIDERS
0 0 0 10
20 20 1 10
20 50 1 10
20 60 1 10
20 77 0.961039 10
20 88 0.965909 10
20 93 0.967742 10
20 96 0.96875 10
20 102 0.960784 10
20 105 0.961905 10
20 111 0.963964 10
20 118 0.966102 10
20 123 0.96748 10
20 127 0.968504 10
20 130 0.969231 10
20 134 0.970149 10
20 138 0.963768 10
20 141 0.957447 10
20 145 0.958621 10
20 147 0.959184 10
20 151 0.960265 10
20 155 0.96129 10
20 157 0.961783 10
20 160 0.9625 10
20 165 0.963636 10
20 168 0.964286 10
20 174 0.965517 10
20 177 0.966102 10
20 178 0.97191 10
20 180 0.972222 10
20 183 0.972678 10
