PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 -1 1 0 1
playerVirtual2 3 -1 1 0 1
playerVirtual3 3 -1 1 0 1
playerVirtual0 3 -1 1 0 1
-------
playerVirtual1 4 -3 1 0 3
playerVirtual2 3 0.99 1 2 1
playerVirtual3 4 -3 1 0 3
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 4 -3 1 0 3
playerVirtual2 3 0.99 1 2 1
playerVirtual3 4 -3 1 0 3
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 4 -3 1 0 3
playerVirtual2 3 -0.01 0.75 2 2
playerVirtual3 4 -3 1 0 3
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 4 -3 1 0 3
playerVirtual2 3 -1.01 0.75 2 3
playerVirtual3 4 -3 1 0 3
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 4 -3 1 0 3
playerVirtual2 4 -1.01 0.75 2 3
playerVirtual3 4 -3 1 0 3
playerVirtual0 4 -2 1 0 2
-------
