ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_769bd57456 1 1 2048 20 2018-02-13 04:06:29 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_1438244924 0 1 2048 20 2018-02-13 04:06:31 2018-02-13 04:06:31
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_7a57564e6b 1 1 512 1 2018-02-13 04:06:35 NULL
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_2381571381 0 1 2048 20 2018-02-13 04:06:36 2018-02-13 04:06:36
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_38cf41170f 3 1 512 1 2018-02-13 04:06:38 2018-02-13 04:41:50
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_2790332778 0 2 4096 40 2018-02-13 04:06:40 2018-02-13 04:06:40
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_ace4fa32c3 1 2 4096 40 2018-02-13 04:06:42 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual3_5b491bc7f3 1 2 4096 40 2018-02-13 04:06:42 NULL
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_2bf46b2d40 3 1 2048 20 2018-02-13 04:06:42 2018-02-13 04:26:11
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_131810c07b 1 2 4096 40 2018-02-13 04:06:43 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_3584940347 0 1 512 1 2018-02-13 04:06:44 2018-02-13 04:06:44
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_2122d0b465 1 1 2048 20 2018-02-13 04:06:44 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual9_3338579772 0 1 2048 20 2018-02-13 04:06:44 2018-02-13 04:06:44
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_1102918af1 1 2 4096 40 2018-02-13 04:06:45 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_61886190b5 3 1 512 1 2018-02-13 04:06:52 2018-02-13 04:20:13
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_bb8c034a2b 3 1 512 1 2018-02-13 04:06:55 2018-02-13 04:15:07
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_15a30f9cd1 2 1 512 1 2018-02-13 04:06:58 2018-02-13 06:00:19
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_2545640208 0 1 2048 20 2018-02-13 04:07:07 2018-02-13 04:07:07
19 192.168.0.200 playerVirtual18_908315 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_79293f3f0b 3 1 2048 20 2018-02-13 04:07:10 2018-02-13 04:49:07
20 192.168.0.200 playerVirtual10_539194189 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_52d90f6860 3 1 2048 20 2018-02-13 04:07:17 2018-02-13 04:47:24
21 192.168.0.200 playerVirtual1_4820204870 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_af17775b40 2 2 4096 40 2018-02-13 04:09:55 2018-02-13 04:22:44
22 192.168.0.200 playerVirtual11_8058564 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_8058564 0 1 2048 20 2018-02-13 04:10:45 2018-02-13 04:10:45
23 192.168.0.200 playerVirtual4_1429160667 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_e7696db919 1 1 2048 20 2018-02-13 04:10:46 NULL
24 192.168.0.200 playerVirtual8_3338010893 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_3338010893 0 1 512 1 2018-02-13 04:10:48 2018-02-13 04:10:48
25 192.168.0.200 playerVirtual2_82730999 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_c50185d288 2 1 512 1 2018-02-13 04:10:52 2018-02-13 06:03:30
26 192.168.0.200 playerVirtual3_6571218 playerVirtual3 192.168.0.200 playerVirtual2 playerVirtual2_0577cf1c13 1 1 2048 20 2018-02-13 04:10:54 NULL
27 192.168.0.200 playerVirtual13_351652724 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual13_351652724 0 1 2048 20 2018-02-13 04:10:54 2018-02-13 04:10:54
28 192.168.0.200 playerVirtual6_778566023 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_05da07e213 1 1 512 1 2018-02-13 04:10:57 NULL
29 192.168.0.200 playerVirtual15_1436344784 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual15_1436344784 0 1 2048 20 2018-02-13 04:11:00 2018-02-13 04:11:00
30 192.168.0.200 playerVirtual17_1339662 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_57ca75b902 1 1 2048 20 2018-02-13 04:11:02 NULL
31 192.168.0.200 playerVirtual19_317497342 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_317497342 0 1 512 1 2018-02-13 04:11:03 2018-02-13 04:11:03
32 192.168.0.200 playerVirtual5_284794223 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_e7c7292308 1 1 2048 20 2018-02-13 04:11:03 NULL
33 192.168.0.200 playerVirtual9_359920779 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual9_359920779 0 1 512 1 2018-02-13 04:11:04 2018-02-13 04:11:04
34 192.168.0.200 playerVirtual7_904011 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_9f61a33cbd 2 1 2048 20 2018-02-13 04:11:04 2018-02-13 04:46:01
35 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_0a2db42a01 1 1 512 1 2018-02-13 04:11:04 NULL
36 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_c498e8faba 1 2 4096 40 2018-02-13 04:11:07 NULL
37 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_e3c59aa49d 1 1 2048 20 2018-02-13 04:11:07 NULL
38 192.168.0.200 playerVirtual16_1093460 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_1093460 0 1 512 1 2018-02-13 04:11:08 2018-02-13 04:11:08
39 192.168.0.200 playerVirtual18_6569547 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_33fd8f9882 1 1 2048 20 2018-02-13 04:11:08 NULL
40 192.168.0.200 playerVirtual10_470485660 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_7b0879ca4d 1 2 4096 40 2018-02-13 04:11:08 NULL
41 192.168.0.200 playerVirtual1_30788568 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_b367b95aa5 1 1 512 1 2018-02-13 04:13:10 NULL
42 192.168.0.200 playerVirtual11_5792765 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_5792765 0 1 512 1 2018-02-13 04:13:13 2018-02-13 04:13:13
43 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_29d85303ee 1 1 512 1 2018-02-13 04:13:27 NULL
44 192.168.0.200 playerVirtual8_400453824 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_400453824 0 1 512 1 2018-02-13 04:13:28 2018-02-13 04:13:28
45 192.168.0.200 playerVirtual2_4820318661 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_9a5e63b98c 2 2 4096 40 2018-02-13 04:13:34 2018-02-13 06:59:52
46 192.168.0.200 playerVirtual3_4819935267 playerVirtual3 192.168.0.200 playerVirtual2 playerVirtual2_0b59b53eda 1 2 4096 40 2018-02-13 04:13:38 NULL
47 192.168.0.200 playerVirtual13_4820217293 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual13_4820217293 0 2 4096 40 2018-02-13 04:13:41 2018-02-13 04:13:41
48 192.168.0.200 playerVirtual6_6264344062 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_47cdb0653e 2 1 512 1 2018-02-13 04:13:42 2018-02-13 04:28:03
49 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual15_2378747961 0 1 512 1 2018-02-13 04:13:52 2018-02-13 04:13:52
50 192.168.0.200 playerVirtual17_5068098508 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_8092e4dc39 3 1 2048 20 2018-02-13 04:13:57 2018-02-13 04:41:40
51 192.168.0.200 playerVirtual19_227443932 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual9_111eff71d7 1 1 2048 20 2018-02-13 04:15:11 NULL
