ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_0287859c9d 1 1 2048 20 2018-02-13 21:12:19 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_1438244924 0 1 2048 20 2018-02-13 21:12:21 2018-02-13 21:12:21
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual4_640692267 0 1 512 1 2018-02-13 21:12:24 2018-02-13 21:12:24
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_36fdac81ae 2 1 2048 20 2018-02-13 21:12:25 2018-02-13 21:42:06
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_46b47f5e7f 2 1 512 1 2018-02-13 21:12:26 2018-02-13 21:46:17
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_2790332778 0 2 4096 40 2018-02-13 21:12:29 2018-02-13 21:12:29
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_4595f4eaea 1 2 4096 40 2018-02-13 21:12:31 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual3_ee0ca4bfeb 1 2 4096 40 2018-02-13 21:12:31 NULL
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_241d6e55a2 3 1 2048 20 2018-02-13 21:12:32 2018-02-13 21:32:01
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_d5ad138b10 1 2 4096 40 2018-02-13 21:12:32 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_3584940347 0 1 512 1 2018-02-13 21:12:33 2018-02-13 21:12:33
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_b323eae2b0 1 1 2048 20 2018-02-13 21:12:33 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual9_3338579772 0 1 2048 20 2018-02-13 21:12:34 2018-02-13 21:12:34
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_8ec7dfe258 1 2 4096 40 2018-02-13 21:12:34 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_51b02d1697 3 1 512 1 2018-02-13 21:12:41 2018-02-13 21:26:03
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_d2edb476fc 3 1 512 1 2018-02-13 21:12:44 2018-02-13 21:20:56
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_7200c5d924 2 1 512 1 2018-02-13 21:12:47 2018-02-13 23:06:49
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_2545640208 0 1 2048 20 2018-02-13 21:12:57 2018-02-13 21:12:57
19 192.168.0.200 playerVirtual18_908315 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_ebe4856e7b 3 1 2048 20 2018-02-13 21:12:58 2018-02-13 21:45:56
20 192.168.0.200 playerVirtual10_539194189 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_442f03c0a8 3 1 2048 20 2018-02-13 21:13:07 2018-02-13 21:53:15
