ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_2b3c527741 1 1 2048 20 2018-02-14 01:36:28 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_1438244924 0 1 2048 20 2018-02-14 01:36:30 2018-02-14 01:36:30
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual4_640692267 0 1 512 1 2018-02-14 01:36:34 2018-02-14 01:36:34
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_4d4b0e0d52 2 1 2048 20 2018-02-14 01:36:35 2018-02-14 02:05:55
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_5790c071b1 2 1 512 1 2018-02-14 01:36:36 2018-02-14 02:25:41
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_2790332778 0 2 4096 40 2018-02-14 01:36:39 2018-02-14 01:36:39
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_783d8d06b7 1 2 4096 40 2018-02-14 01:36:41 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual3_ffccabdc7f 1 2 4096 40 2018-02-14 01:36:41 NULL
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_ff7239ae68 3 1 2048 20 2018-02-14 01:36:41 2018-02-14 01:56:10
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_ce43f36dff 1 2 4096 40 2018-02-14 01:36:42 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual19_3584940347 0 1 512 1 2018-02-14 01:36:42 2018-02-14 01:36:42
12 192.168.0.200 playerVirtual9_2433236783 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_35ca0f85de 1 1 2048 20 2018-02-14 01:36:42 NULL
13 192.168.0.200 playerVirtual5_3338579772 playerVirtual5 192.168.0.200 playerVirtual7 playerVirtual7_079c504aea 3 1 2048 20 2018-02-14 01:36:43 2018-02-14 01:57:55
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual5 playerVirtual5_776af754d4 1 2 4096 40 2018-02-14 01:36:43 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_80fcbccd44 3 1 512 1 2018-02-14 01:36:50 2018-02-14 01:50:12
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_fa824183b6 3 1 512 1 2018-02-14 01:36:54 2018-02-14 01:45:06
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_7904407b5a 2 1 512 1 2018-02-14 01:36:57 2018-02-14 03:25:06
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_2545640208 0 1 2048 20 2018-02-14 01:37:06 2018-02-14 01:37:06
19 192.168.0.200 playerVirtual18_908315 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual18_908315 0 1 2048 20 2018-02-14 01:37:07 2018-02-14 01:37:07
20 192.168.0.200 playerVirtual10_539194189 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_172a74d3f9 2 1 2048 20 2018-02-14 01:37:15 2018-02-14 02:16:21
21 192.168.0.200 playerVirtual1_4820204870 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_c399b38fe4 2 2 4096 40 2018-02-14 01:39:54 2018-02-14 01:52:24
22 192.168.0.200 playerVirtual11_8058564 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_8058564 0 1 2048 20 2018-02-14 01:40:44 2018-02-14 01:40:44
23 192.168.0.200 playerVirtual4_1429160667 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual4_1429160667 0 1 2048 20 2018-02-14 01:40:45 2018-02-14 01:40:45
24 192.168.0.200 playerVirtual8_3338010893 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_8e0f8fce57 1 1 512 1 2018-02-14 01:40:46 NULL
25 192.168.0.200 playerVirtual2_82730999 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_130b5b99f0 2 1 512 1 2018-02-14 01:40:50 2018-02-14 03:21:59
26 192.168.0.200 playerVirtual3_6571218 playerVirtual3 192.168.0.200 playerVirtual2 playerVirtual2_81d2a20fff 1 1 2048 20 2018-02-14 01:40:53 NULL
27 192.168.0.200 playerVirtual13_351652724 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual13_351652724 0 1 2048 20 2018-02-14 01:40:53 2018-02-14 01:40:53
28 192.168.0.200 playerVirtual6_778566023 playerVirtual6 192.168.0.200 playerVirtual15 playerVirtual15_fd409d3d17 1 1 512 1 2018-02-14 01:40:55 NULL
29 192.168.0.200 playerVirtual15_1436344784 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual15_1436344784 0 1 2048 20 2018-02-14 01:40:59 2018-02-14 01:40:59
30 192.168.0.200 playerVirtual17_1339662 playerVirtual17 192.168.0.200 playerVirtual9 playerVirtual17_1339662 0 1 2048 20 2018-02-14 01:41:00 2018-02-14 01:41:00
31 192.168.0.200 playerVirtual19_317497342 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_df9f618488 1 1 512 1 2018-02-14 01:41:04 NULL
32 192.168.0.200 playerVirtual9_284794223 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_085d055c8c 1 1 2048 20 2018-02-14 01:41:05 NULL
33 192.168.0.200 playerVirtual5_359920779 playerVirtual5 192.168.0.200 playerVirtual7 playerVirtual7_ff1bf7b796 2 1 512 1 2018-02-14 01:41:05 2018-02-14 02:45:31
34 192.168.0.200 playerVirtual7_904011 playerVirtual7 192.168.0.200 playerVirtual5 playerVirtual5_90ef5c2730 3 1 2048 20 2018-02-14 01:41:06 2018-02-14 02:12:35
35 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_3611b7ee1f 1 2 4096 40 2018-02-14 01:41:06 NULL
36 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_bf3aaa313d 1 1 512 1 2018-02-14 01:41:07 NULL
37 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_7314e3f234 1 1 2048 20 2018-02-14 01:41:07 NULL
