SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 19 0 0
2 44 0 0
3 53 0 1
4 61 0 7
5 66 1 8
6 67 1 12
7 62 1 19
8 66 1 21
9 64 2 23
10 69 2 24
11 73 2 26
12 73 3 29
13 72 4 32
14 70 4 35
15 74 4 36
16 76 4 39
17 75 3 44
18 74 3 46
19 71 3 50
20 73 3 51
21 76 3 51
22 75 3 56
23 75 3 59
24 75 3 61
25 78 3 62
26 77 3 64
27 82 3 64
28 81 3 66
29 82 3 69
30 84 3 71
31 82 3 75
32 81 3 77
33 81 3 78
34 81 5 78
35 80 5 81
36 81 5 83
37 86 5 84
38 84 5 86
39 85 5 88
40 83 5 90
41 83 5 92
42 85 5 93
43 84 5 95
44 86 5 96
45 88 5 98
46 89 5 99
47 88 5 102
48 87 5 104
49 86 5 105
50 85 3 110
