name	score	history	fairness
playerVirtual0	7.3	37	1
playerVirtual1	7.63	37	1
playerVirtual2	7.3	37	1
playerVirtual3	6.97	37	1
playerVirtual4	7.3	37	1
playerVirtual5	6.64	37	1
playerVirtual6	7.3	37	1
playerVirtual7	6.64	37	1
playerVirtual8	6.97	37	1
playerVirtual9	7.3	37	1
playerVirtual10	6.97	37	1
playerVirtual11	6.97	37	1
playerVirtual12	6.31	37	1
playerVirtual13	7.3	37	1
playerVirtual14	6.97	37	1
playerVirtual15	7.96	37	1
playerVirtual16	7.3	37	1
playerVirtual17	6.97	37	1
playerVirtual18	6.64	37	1
playerVirtual19	6.64	37	1
playerVirtual20	6.97	37	1
playerVirtual21	7.3	37	1
playerVirtual22	6.64	37	1
playerVirtual23	6.97	37	1
playerVirtual24	6.64	37	1
playerVirtual25	7.3	37	1
playerVirtual26	7.63	37	1
playerVirtual27	6.64	37	1
playerVirtual28	7.3	37	1
playerVirtual29	5.98	37	1
playerVirtual30	7.3	37	1
playerVirtual31	7.3	37	1
playerVirtual32	6.64	37	1
playerVirtual33	6.64	37	1
playerVirtual34	7.96	37	1
playerVirtual35	7.3	37	1
playerVirtual36	7.3	37	1
playerVirtual37	6.64	37	1
playerVirtual38	6.64	37	1
playerVirtual39	6.64	37	1
playerVirtual40	7.3	37	1
playerVirtual41	7.3	37	1
playerVirtual42	5.98	37	1
playerVirtual43	6.64	37	1
playerVirtual44	7.3	37	1
playerVirtual45	6.64	37	1
playerVirtual46	7.3	37	1
playerVirtual47	6.64	37	1
playerVirtual48	7.3	37	1
playerVirtual49	7.63	37	1
playerVirtual50	7.63	37	1
playerVirtual51	7.3	37	1
playerVirtual52	7.3	37	1
playerVirtual53	6.64	37	1
playerVirtual54	6.31	37	1
playerVirtual55	6.64	37	1
playerVirtual56	6.64	37	1
playerVirtual57	7.96	37	1
playerVirtual58	6.64	37	1
playerVirtual59	6.31	37	1
playerVirtual60	7.3	37	1
playerVirtual61	7.3	37	1
playerVirtual62	7.63	37	1
playerVirtual63	7.63	37	1
playerVirtual64	6.64	37	1
playerVirtual65	6.64	37	1
playerVirtual66	7.3	37	1
playerVirtual67	6.97	37	1
playerVirtual68	6.64	38	1
playerVirtual70	5.64	37	1
playerVirtual72	5.31	37	1
playerVirtual73	5.31	37	1
playerVirtual74	5.64	37	1
playerVirtual75	5.31	37	1
playerVirtual76	5.31	37	1
playerVirtual80	5.31	37	1
playerVirtual83	5.64	37	1
playerVirtual86	5.31	37	1
playerVirtual87	5.31	37	1
playerVirtual89	5.31	37	1
playerVirtual90	5.64	37	1
playerVirtual91	6.31	37	1
playerVirtual92	6.97	37	1
playerVirtual93	6.97	37	1
playerVirtual94	6.31	37	1
playerVirtual96	7.3	37	1
playerVirtual98	5.64	37	1
playerVirtual99	5.31	37	1
