NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
playerVirtual3 0 0 0 1
playerVirtual3 1 1 6 1
playerVirtual3 2 1 6 3
playerVirtual3 3 1 6 4
playerVirtual3 4 1 6 5
playerVirtual3 5 0.75 6 6
playerVirtual3 6 0.75 6 6
playerVirtual3 7 0.666667 6 8
playerVirtual3 8 0.666667 6 9
playerVirtual3 9 0.666667 6 10
playerVirtual3 10 0.666667 6 11
playerVirtual3 11 0.666667 6 12
playerVirtual3 12 0.666667 6 13
playerVirtual3 13 0.7 6 14
playerVirtual3 14 0.7 6 15
playerVirtual3 15 0.7 6 16
playerVirtual3 16 0.7 6 16
playerVirtual3 17 0.7 6 18
playerVirtual3 18 0.636364 6 18
playerVirtual3 19 0.636364 6 19
playerVirtual3 20 0.636364 6 20
playerVirtual3 21 0.636364 6 22
playerVirtual3 22 0.636364 6 23
playerVirtual3 23 0.583333 6 24
playerVirtual3 24 0.583333 6 25
playerVirtual3 25 0.583333 6 26
playerVirtual3 26 0.583333 6 27
playerVirtual3 27 0.583333 6 28
playerVirtual3 28 0.583333 6 28
playerVirtual3 29 0.583333 6 29
playerVirtual3 30 0.583333 6 31
playerVirtual3 31 0.538462 6 32
playerVirtual3 32 0.538462 6 32
playerVirtual3 33 0.538462 6 33
playerVirtual3 34 0.538462 6 34
playerVirtual3 35 0.538462 6 35
playerVirtual3 36 0.538462 6 36
playerVirtual3 37 0.5 6 38
playerVirtual3 38 0.5 6 38
playerVirtual3 39 0.5 6 39
playerVirtual3 40 0.5 6 40
playerVirtual3 41 0.5 6 42
playerVirtual3 42 0.5 6 42
playerVirtual3 43 0.5 6 43
playerVirtual3 44 0.466667 6 44
playerVirtual3 45 0.466667 6 45
playerVirtual3 46 0.466667 6 47
playerVirtual3 47 0.466667 6 48
playerVirtual3 48 0.466667 6 49
playerVirtual3 49 0.466667 6 49
playerVirtual3 50 0.466667 6 50
playerVirtual3 51 0.466667 6 51
playerVirtual3 52 0.4375 6 52
playerVirtual3 53 0.4375 6 54
playerVirtual3 54 0.4375 6 54
playerVirtual3 54 0.4375 6 55
playerVirtual3 55 0.4375 6 56
playerVirtual3 55 0.4375 6 57
playerVirtual3 56 0.4375 6 58
playerVirtual3 56 0.4375 6 59
playerVirtual3 57 0.411765 6 60
playerVirtual3 57 0.411765 6 61
playerVirtual3 58 0.411765 6 63
playerVirtual3 58 0.411765 6 63
playerVirtual3 59 0.411765 6 65
playerVirtual3 59 0.411765 6 65
playerVirtual3 60 0.411765 6 66
playerVirtual3 60 0.411765 6 68
playerVirtual3 61 0.388889 6 68
playerVirtual3 61 0.388889 6 70
playerVirtual3 62 0.388889 6 71
playerVirtual3 62 0.388889 6 71
playerVirtual3 63 0.388889 6 72
playerVirtual3 63 0.388889 6 73
playerVirtual3 64 0.388889 6 74
playerVirtual3 64 0.388889 6 76
playerVirtual3 65 0.388889 6 76
playerVirtual3 65 0.388889 6 77
playerVirtual3 66 0.388889 6 78
playerVirtual3 66 0.388889 6 79
playerVirtual3 67 0.388889 6 80
playerVirtual3 67 0.388889 6 81
playerVirtual3 67 0.388889 6 82
playerVirtual3 68 0.368421 6 84
playerVirtual3 68 0.368421 6 84
playerVirtual3 69 0.368421 6 85
playerVirtual3 69 0.368421 6 87
playerVirtual3 70 0.368421 6 87
playerVirtual3 70 0.368421 6 88
playerVirtual3 71 0.368421 6 90
playerVirtual3 71 0.368421 6 90
playerVirtual3 72 0.368421 6 90
playerVirtual3 72 0.368421 6 90
playerVirtual3 73 0.4 6 90
playerVirtual3 73 0.4 6 90
playerVirtual3 74 0.4 6 90
playerVirtual3 74 0.4 6 90
playerVirtual3 75 0.4 6 90
playerVirtual3 75 0.4 6 90
playerVirtual3 76 0.4 6 90
playerVirtual3 76 0.4 6 90
