PLAYERS REQUESTS FAIRNESS
0 0 0 90
11 21 0.952381 90
12 44 0.840909 90
13 59 0.79661 90
14 65 0.769231 90
15 76 0.697368 90
16 81 0.679012 90
17 86 0.651163 90
18 87 0.643678 90
19 91 0.626374 90
20 92 0.619565 90
21 97 0.628866 90
22 98 0.622449 90
23 104 0.625 90
24 106 0.613208 90
25 109 0.605505 90
26 111 0.603604 90
27 111 0.603604 90
28 116 0.594828 90
29 118 0.584746 90
30 121 0.586777 90
31 122 0.581967 90
32 122 0.581967 90
33 124 0.572581 90
34 126 0.571429 90
35 128 0.570312 90
36 132 0.568182 90
37 132 0.568182 90
38 134 0.559702 90
39 136 0.558824 90
40 137 0.554745 90
41 139 0.546763 90
42 141 0.546099 90
43 141 0.546099 90
44 142 0.549296 90
45 144 0.541667 90
46 145 0.544828 90
47 148 0.533784 90
48 149 0.530201 90
49 149 0.530201 90
50 150 0.526667 90
51 152 0.519737 90
52 153 0.51634 90
53 153 0.51634 90
54 158 0.512658 90
55 159 0.509434 90
56 160 0.5125 90
57 160 0.5125 90
58 162 0.506173 90
59 164 0.5 90
60 164 0.5 90
61 165 0.49697 90
62 167 0.491018 90
63 168 0.494048 90
64 168 0.494048 90
65 170 0.488235 90
66 171 0.48538 90
67 172 0.482558 90
68 172 0.482558 90
69 172 0.5 90
70 174 0.494253 90
71 177 0.485876 90
72 177 0.485876 90
73 179 0.480447 90
74 179 0.480447 90
75 181 0.475138 90
76 182 0.472527 90
77 184 0.472826 90
78 184 0.472826 90
79 185 0.47027 90
80 185 0.47027 90
81 185 0.481081 90
82 186 0.478495 90
83 187 0.475936 90
84 188 0.473404 90
85 188 0.473404 90
86 191 0.465969 90
87 192 0.463542 90
88 193 0.46114 90
89 194 0.458763 90
90 194 0.458763 90
91 195 0.45641 90
92 197 0.467005 90
93 198 0.464646 90
94 198 0.464646 90
95 199 0.462312 90
96 201 0.457711 90
97 201 0.457711 90
98 202 0.455446 90
99 204 0.45098 90
100 204 0.45098 90
100 204 0.45098 90
100 208 0.447115 90
100 208 0.447115 90
100 209 0.449761 90
100 209 0.449761 90
100 209 0.449761 90
100 211 0.450237 90
100 213 0.455399 90
100 213 0.455399 90
100 214 0.457944 90
