name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	3	0	1	1	2	2	0	9	1	0
playerVirtual2	3	1.33	1	1	2	2	0	4	1	0
playerVirtual3	3	1.99	1	1	2	2	0	6	1	0
playerVirtual4	3	1.33	1	1	2	2	0	6	1	0
playerVirtual5	2	2.66	1	1	2	2	0	6	1	0
playerVirtual6	2	3.32	1	1	2	2	0	2	1	0
playerVirtual7	3	1.99	1	1	2	2	0	2	1	0
playerVirtual9	2	3.32	1	1	2	2	0	5	1	0
playerVirtual0	3	1.99	1	1	2	2	0	4	1	0
playerVirtual10	3	0	1	1	2	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	2	3.32	2	1	5	5	0	9	1	0
playerVirtual2	2	3.32	2	1	4	4	0	4	1	0
playerVirtual3	2	4.65	2	1	4	4	0	6	1	0
playerVirtual4	2	2.66	2	1	5	5	0	6	1	0
playerVirtual5	2	3.99	2	1	4	4	0	6	1	0
playerVirtual6	2	3.32	2	1	2	2	0	2	1	0
playerVirtual7	3	1.99	2	1	2	2	0	2	1	0
playerVirtual9	1	5.31	2	1	4	4	0	5	1	0
playerVirtual0	2	3.32	2	1	4	4	0	4	1	0
playerVirtual10	3	0	2	1	4	0	0	99	1	0
playerVirtual11	2	2.66	1	1	3	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	5.31	3	1	7	7	0	9	1	0
playerVirtual2	2	3.32	3	1	4	4	0	4	1	0
playerVirtual3	1	5.98	3	1	6	6	0	6	1	0
playerVirtual4	2	3.99	3	1	6	6	0	6	1	0
playerVirtual5	1	5.98	3	1	6	6	0	6	1	0
playerVirtual6	2	3.32	3	1	3	2	0	2	1	0
playerVirtual7	3	1.99	3	1	2	2	0	2	1	0
playerVirtual9	1	5.31	2	1	4	4	0	5	1	0
playerVirtual0	2	3.32	3	1	4	4	0	4	1	0
playerVirtual10	2	2.66	3	1	7	0	0	99	1	0
playerVirtual11	2	4.65	2	1	5	0	0	99	1	0
playerVirtual12	2	2.66	1	0	4	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	6.64	4	1	8	8	0	9	1	0
playerVirtual2	1	5.31	4	1	5	4	0	4	1	0
playerVirtual3	1	5.98	4	1	6	6	0	6	1	0
playerVirtual4	2	3.99	4	1	6	6	0	6	1	0
playerVirtual5	1	5.98	4	1	6	5	0	6	1	0
playerVirtual6	2	3.32	4	1	3	2	0	2	1	0
playerVirtual7	3	1.99	4	1	2	2	0	2	1	0
playerVirtual9	1	5.31	3	1	5	5	0	5	1	0
playerVirtual0	2	3.32	4	1	4	4	0	4	1	0
playerVirtual10	2	3.99	4	1	8	0	0	99	1	0
playerVirtual11	1	5.98	3	1	7	0	0	99	1	0
playerVirtual12	2	2.66	2	1	5	0	0	99	1	0
playerVirtual13	3	0	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	6.64	4	1	9	9	0	9	1	0
playerVirtual2	1	5.31	4	1	5	4	0	4	1	0
playerVirtual3	1	5.98	4	1	6	6	0	6	1	0
playerVirtual4	2	3.99	5	1	6	6	0	6	1	0
playerVirtual5	1	5.98	4	1	7	6	0	6	1	0
playerVirtual6	2	3.32	5	1	3	2	0	2	1	0
playerVirtual7	3	1.99	5	1	2	2	0	2	1	0
playerVirtual9	1	5.31	3	1	5	5	0	5	1	0
playerVirtual0	2	3.32	5	1	4	4	0	4	1	0
playerVirtual10	2	3.99	5	1	10	0	0	99	1	0
playerVirtual11	1	5.98	3	1	8	0	0	99	1	0
playerVirtual12	2	3.99	3	1	6	0	0	99	1	0
playerVirtual13	3	1.33	2	1	4	1	0	99	1	0
playerVirtual14	2	2.66	1	0	2	1	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	5	1	9	8	0	9	1	0
playerVirtual2	1	5.31	5	1	5	4	0	4	1	0
playerVirtual3	1	5.98	5	1	6	6	0	6	1	0
playerVirtual4	2	3.99	6	1	6	6	0	6	1	0
playerVirtual5	1	5.98	5	1	7	6	0	6	1	0
playerVirtual6	2	3.32	6	1	3	2	0	2	1	0
playerVirtual7	3	1.99	6	1	2	2	0	2	1	0
playerVirtual9	1	6.64	4	1	5	5	0	5	1	0
playerVirtual0	2	3.32	6	1	4	4	0	4	1	0
playerVirtual10	2	3.99	6	1	11	0	0	99	1	0
playerVirtual11	1	5.98	4	1	9	0	0	99	1	0
playerVirtual12	2	3.99	4	1	8	1	0	99	1	0
playerVirtual13	2	2.66	3	1	5	0	0	99	1	0
playerVirtual14	2	3.99	2	0	3	0	0	99	1	0
playerVirtual15	3	0	1	0	2	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	5	1	9	8	0	9	1	0
playerVirtual2	1	5.31	5	1	5	4	0	4	1	0
playerVirtual3	1	5.98	5	1	6	5	0	6	1	0
playerVirtual4	2	3.99	7	1	7	4	0	6	1	0
playerVirtual5	1	5.98	5	1	7	6	0	6	1	0
playerVirtual6	2	3.32	7	1	3	2	0	2	1	0
playerVirtual7	3	1.99	7	1	2	2	0	2	1	0
playerVirtual9	1	6.64	4	1	5	5	0	5	1	0
playerVirtual0	2	3.32	7	1	4	4	0	4	1	0
playerVirtual10	1	5.32	7	1	12	0	0	99	1	0
playerVirtual11	1	5.98	4	1	9	0	0	99	1	0
playerVirtual12	2	3.99	5	1	8	0	0	99	1	0
playerVirtual13	2	2.66	4	1	5	0	0	99	1	0
playerVirtual14	2	3.99	3	1	4	0	0	99	1	0
playerVirtual15	3	1.33	2	0	3	0	0	99	1	0
playerVirtual16	3	0	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	6	1	9	6	0	9	1	0
playerVirtual2	1	5.31	6	1	6	4	0	4	1	0
playerVirtual3	1	7.31	6	1	7	6	0	6	1	0
playerVirtual4	2	3.99	8	1	7	4	0	6	1	0
playerVirtual5	1	5.98	6	1	7	6	0	6	1	0
playerVirtual6	2	3.32	8	1	3	2	0	2	1	0
playerVirtual7	3	1.99	8	1	2	2	0	2	1	0
playerVirtual9	1	6.64	5	1	5	5	0	5	1	0
playerVirtual0	2	3.32	8	1	4	4	0	4	1	0
playerVirtual10	1	5.32	8	1	12	0	0	99	1	0
playerVirtual11	1	5.98	5	1	9	0	0	99	1	0
playerVirtual12	1	5.32	6	1	9	0	0	99	1	0
playerVirtual13	2	2.66	5	1	6	0	0	99	1	0
playerVirtual14	2	3.99	4	1	4	0	0	99	1	0
playerVirtual15	2	2.66	3	1	4	1	0	99	1	0
playerVirtual16	3	1.33	2	0	2	0	0	99	1	0
playerVirtual17	3	1.33	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	6	1	9	6	0	9	1	0
playerVirtual2	1	5.31	6	1	6	4	0	4	1	0
playerVirtual3	1	7.31	6	1	7	5	0	6	1	0
playerVirtual4	2	3.99	9	1	7	4	0	6	1	0
playerVirtual5	1	5.98	6	1	7	6	0	6	1	0
playerVirtual6	2	3.32	9	1	3	2	0	2	1	0
playerVirtual7	3	1.99	9	1	2	2	0	2	1	0
playerVirtual9	1	6.64	5	1	5	5	0	5	1	0
playerVirtual0	2	3.32	9	1	4	4	0	4	1	0
playerVirtual10	1	5.32	8	1	12	0	0	99	1	0
playerVirtual11	1	5.98	5	1	9	0	0	99	1	0
playerVirtual12	1	5.32	6	1	9	0	0	99	1	0
playerVirtual13	2	2.66	6	1	6	0	0	99	1	0
playerVirtual14	2	3.99	5	1	4	0	0	99	1	0
playerVirtual15	2	2.66	4	1	4	0	0	99	1	0
playerVirtual16	3	1.33	3	0	2	0	0	99	1	0
playerVirtual17	3	1.33	2	0	1	0	0	99	1	0
playerVirtual18	3	1.33	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	7	1	9	6	0	9	1	0
playerVirtual2	1	5.31	7	1	6	3	0	4	1	0
playerVirtual3	1	7.31	7	1	7	5	0	6	1	0
playerVirtual4	2	3.99	10	1	8	4	0	6	1	0
playerVirtual5	1	5.98	7	1	7	5	0	6	1	0
playerVirtual6	2	3.32	10	1	3	2	0	2	1	0
playerVirtual7	3	1.99	10	1	2	2	0	2	1	0
playerVirtual9	1	6.64	6	1	5	5	0	5	1	0
playerVirtual0	2	3.32	10	1	5	4	0	4	1	0
playerVirtual10	1	5.32	9	1	12	0	0	99	1	0
