SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 18 2 0
2 33 8 0
3 45 13 1
4 45 16 3
5 48 20 6
6 48 27 6
7 47 28 10
8 47 28 11
9 47 30 13
10 43 31 17
11 44 33 18
12 44 34 18
13 48 35 18
14 47 38 19
15 46 40 20
16 45 41 21
17 46 42 21
18 46 44 22
19 47 46 23
20 47 46 23
21 46 46 24
22 47 48 24
23 47 50 24
24 46 49 28
25 47 50 28
26 47 51 28
27 46 52 29
28 45 52 32
29 45 54 33
30 45 55 34
31 45 53 37
32 45 53 37
33 46 54 37
34 43 55 41
35 45 56 41
36 43 57 43
37 42 57 44
38 42 58 44
39 42 59 44
40 42 61 45
41 42 61 45
42 43 63 45
43 43 64 45
44 43 65 45
45 43 65 45
46 43 66 45
47 44 67 45
48 43 67 46
49 41 66 51
50 41 66 51
51 40 67 52
52 40 67 52
53 40 67 52
54 39 70 54
55 38 70 55
56 39 70 56
57 37 72 57
58 37 73 57
59 36 76 57
60 36 76 57
61 36 76 57
62 38 79 57
63 38 79 57
64 38 79 57
65 38 81 57
66 38 82 57
67 38 84 57
68 38 84 57
69 38 84 57
70 38 87 57
71 38 87 57
72 37 86 59
73 35 86 62
74 35 88 62
75 35 88 62
76 35 91 62
77 35 91 62
78 35 91 62
79 35 93 62
80 36 94 62
81 36 94 62
82 36 95 62
83 36 96 62
84 36 97 62
85 36 99 62
86 36 99 62
87 36 99 62
88 36 99 62
89 36 103 62
90 36 103 62
91 36 103 62
92 36 103 62
93 35 104 63
94 35 105 63
95 35 105 63
96 37 105 63
97 37 105 63
98 37 105 63
99 37 105 64
100 39 105 65
