SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 16 0 0
2 41 0 0
3 48 0 1
4 57 1 5
5 64 1 7
6 63 1 10
7 59 1 17
8 60 1 19
9 60 1 23
10 62 2 24
11 66 2 25
12 68 2 29
13 70 2 30
14 67 2 35
15 66 2 38
16 67 2 40
17 70 2 42
18 72 2 44
19 68 2 49
20 68 2 51
21 68 2 53
22 70 2 55
23 73 2 56
24 72 3 59
25 71 4 61
26 72 4 63
27 72 5 64
28 73 5 66
29 72 5 69
30 70 5 72
31 69 5 75
32 70 5 76
33 71 5 78
34 70 5 79
35 74 5 81
36 74 6 82
37 74 6 84
38 74 6 87
39 73 6 89
40 73 6 91
41 73 6 93
42 72 6 95
43 72 6 97
44 74 6 98
45 74 6 100
46 72 6 103
47 73 6 105
48 71 6 107
49 73 6 109
50 72 6 110
