ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_898bcfd58f 1 1 2048 20 2018-02-12 13:01:02 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_1438244924 0 1 2048 20 2018-02-12 13:01:04 2018-02-12 13:01:04
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_0005fc9f60 1 1 512 1 2018-02-12 13:01:07 NULL
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_c4f4fbb408 3 1 2048 20 2018-02-12 13:01:08 2018-02-12 13:32:03
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_64930e3060 2 1 512 1 2018-02-12 13:01:09 2018-02-12 13:48:43
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_2790332778 0 2 4096 40 2018-02-12 13:01:12 2018-02-12 13:01:12
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_bd13a69640 1 2 4096 40 2018-02-12 13:01:13 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_317469422 0 2 4096 40 2018-02-12 13:01:14 2018-02-12 13:01:14
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_cbdf104c02 3 1 2048 20 2018-02-12 13:01:14 2018-02-12 13:20:43
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_57f4c409c5 1 2 4096 40 2018-02-12 13:01:15 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual5_d13eb2ce3e 1 1 512 1 2018-02-12 13:01:15 NULL
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_1dfacc115d 1 1 2048 20 2018-02-12 13:01:15 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual7_993b0b35dc 3 1 2048 20 2018-02-12 13:01:16 2018-02-12 13:22:28
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_842da093b4 1 2 4096 40 2018-02-12 13:01:17 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_2f5d366d01 3 1 512 1 2018-02-12 13:01:24 2018-02-12 13:14:46
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_228d6c5901 3 1 512 1 2018-02-12 13:01:27 2018-02-12 13:09:43
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_de91cecfe0 2 1 512 1 2018-02-12 13:01:31 2018-02-12 14:54:42
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_2545640208 0 1 2048 20 2018-02-12 13:01:39 2018-02-12 13:01:39
