ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_bc6747261b 1 1 2048 20 2018-02-12 23:30:09 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_1438244924 0 1 2048 20 2018-02-12 23:30:11 2018-02-12 23:30:11
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_58165e2795 1 1 512 1 2018-02-12 23:30:14 NULL
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_2381571381 0 1 2048 20 2018-02-12 23:30:15 2018-02-12 23:30:15
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_f42f7e4906 2 1 512 1 2018-02-12 23:30:17 2018-02-13 00:04:02
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_2790332778 0 2 4096 40 2018-02-12 23:30:20 2018-02-12 23:30:20
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_a230da84b7 1 2 4096 40 2018-02-12 23:30:21 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_317469422 0 2 4096 40 2018-02-12 23:30:21 2018-02-12 23:30:21
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_f1b155d7cb 3 1 2048 20 2018-02-12 23:30:22 2018-02-12 23:49:51
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_34f1af1800 1 2 4096 40 2018-02-12 23:30:23 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_3584940347 0 1 512 1 2018-02-12 23:30:23 2018-02-12 23:30:23
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_5569d363c5 1 1 2048 20 2018-02-12 23:30:23 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual7_47f19af981 3 1 2048 20 2018-02-12 23:30:24 2018-02-12 23:51:35
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_76f40d09c0 1 2 4096 40 2018-02-12 23:30:24 NULL
