PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 -1 1 0 1
playerVirtual11 3 0 0 2 0
playerVirtual4 3 0 1 1 0
playerVirtual8 3 1.33 0 1 0
playerVirtual2 3 -1 1 0 1
playerVirtual13 3 1.99 0 1 0
playerVirtual3 3 -1 1 0 1
playerVirtual6 3 -1 1 0 1
playerVirtual15 3 1.99 0 1 0
playerVirtual17 3 1.33 1 1 0
playerVirtual19 3 1.99 1 1 0
playerVirtual5 3 -1 1 0 1
playerVirtual9 3 0 0 1 0
playerVirtual7 3 -1 1 0 1
playerVirtual14 3 1.99 0 1 0
playerVirtual12 3 1.33 0 1 0
playerVirtual0 3 -1 1 0 1
playerVirtual16 3 0 1 1 0
playerVirtual18 3 0 1 1 0
playerVirtual10 3 0 1 0 0
-------
playerVirtual1 4 -3 1 0 3
playerVirtual11 3 1.99 0 3 0
playerVirtual4 3 2.66 1 3 0
playerVirtual8 3 2.66 0 3 0
playerVirtual2 4 -3 1 0 3
playerVirtual13 3 3.98 0 3 0
playerVirtual3 4 -3 1 0 3
playerVirtual6 4 -3 1 0 3
playerVirtual15 2 4.65 0 3 0
playerVirtual17 3 2.66 1 2 0
playerVirtual19 3 1.99 1 3 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 0 0 2 0
playerVirtual7 4 -2 1 0 2
playerVirtual14 3 1.99 0 2 0
playerVirtual12 3 1.33 0 2 0
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 0 1 2 0
playerVirtual18 3 1.33 1 2 0
playerVirtual10 3 3.32 1 2 0
-------
playerVirtual1 4 -3 1 0 3
playerVirtual11 3 1.99 0 3 0
playerVirtual4 3 2.66 1 3 0
playerVirtual8 3 2.66 0 3 0
playerVirtual2 4 -3 1 0 3
playerVirtual13 3 3.98 0 3 0
playerVirtual3 4 -3 1 0 3
playerVirtual6 4 -3 1 0 3
playerVirtual15 2 4.65 0 3 0
playerVirtual17 3 2.66 1 3 0
playerVirtual19 3 1.99 1 3 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 0 0.333333 3 0
playerVirtual7 4 -2 1 0 2
playerVirtual14 3 1.99 0.333333 3 0
playerVirtual12 3 1.33 0 3 0
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 0 1 3 0
playerVirtual18 3 1.33 1 3 0
playerVirtual10 3 3.32 1 2 0
-------
playerVirtual1 4 -3 1 0 3
playerVirtual11 3 3.32 0.25 4 0
playerVirtual4 3 1.66 0.75 3 1
playerVirtual8 3 3.99 0 4 0
playerVirtual2 4 -3 1 0 3
playerVirtual13 3 3.98 0.25 4 0
playerVirtual3 4 -3 1 0 3
playerVirtual6 4 -3 1 0 3
playerVirtual15 2 4.65 0.25 3 0
playerVirtual17 3 3.99 1 4 0
playerVirtual19 3 1.99 1 4 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 0 0.5 4 0
playerVirtual7 4 -2 1 0 2
playerVirtual14 3 1.99 0.333333 4 0
playerVirtual12 3 1.33 0.333333 4 0
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 1.33 1 4 0
playerVirtual18 3 1.33 1 3 0
playerVirtual10 3 1.66 1 3 0
-------
playerVirtual1 4 -3 1 0 3
playerVirtual11 3 3.32 0.4 5 0
playerVirtual4 3 0.66 0.75 3 2
playerVirtual8 3 3.99 0 5 0
playerVirtual2 4 -3 1 0 3
playerVirtual13 2 5.31 0 5 0
playerVirtual3 4 -3 1 0 3
playerVirtual6 4 -3 1 0 3
playerVirtual15 2 4.65 0.25 3 0
playerVirtual17 3 3.99 1 4 0
playerVirtual19 3 1.99 1 4 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 0 0.5 4 0
playerVirtual7 4 -2 1 0 2
playerVirtual14 3 1.99 0.5 4 0
