ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_3068be5fa2 1 1 2048 20 2018-02-14 14:16:50 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_1438244924 0 1 2048 20 2018-02-14 14:16:52 2018-02-14 14:16:52
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_65a151643c 1 1 512 1 2018-02-14 14:16:55 NULL
4 192.168.0.200 playerVirtual2_2381571381 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_35c100a4fe 2 1 2048 20 2018-02-14 14:16:56 2018-02-14 14:46:29
5 192.168.0.200 playerVirtual8_5297461910 playerVirtual8 192.168.0.200 playerVirtual2 playerVirtual8_5297461910 0 1 512 1 2018-02-14 14:16:57 2018-02-14 14:16:57
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual13_2790332778 0 2 4096 40 2018-02-14 14:17:00 2018-02-14 14:17:00
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual13 playerVirtual13_9100506b00 1 2 4096 40 2018-02-14 14:17:02 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual15 playerVirtual15_de461b5b52 1 2 4096 40 2018-02-14 14:17:02 NULL
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual15_6955737 0 1 2048 20 2018-02-14 14:17:02 2018-02-14 14:17:02
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual19 playerVirtual19_189db2e410 1 2 4096 40 2018-02-14 14:17:03 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_2952c63890 1 1 512 1 2018-02-14 14:17:04 NULL
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual9 playerVirtual9_2b1f064816 1 1 2048 20 2018-02-14 14:17:04 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual5 playerVirtual9_3338579772 0 1 2048 20 2018-02-14 14:17:05 2018-02-14 14:17:05
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual14 playerVirtual14_8b1bed9fd3 1 2 4096 40 2018-02-14 14:17:05 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual7 playerVirtual14_182859403 0 1 512 1 2018-02-14 14:17:12 2018-02-14 14:17:12
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual0 playerVirtual12_2359368952 0 1 512 1 2018-02-14 14:17:15 2018-02-14 14:17:15
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual12 playerVirtual12_0eef9d8211 2 1 512 1 2018-02-14 14:17:18 2018-02-14 16:21:31
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_8bb8f5cac9 1 1 2048 20 2018-02-14 14:17:28 NULL
19 192.168.0.200 playerVirtual18_908315 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_f0e527c75d 3 1 2048 20 2018-02-14 14:17:28 2018-02-14 14:59:36
20 192.168.0.200 playerVirtual10_539194189 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_67fb34f8fe 3 1 2048 20 2018-02-14 14:17:37 2018-02-14 15:11:22
21 192.168.0.200 playerVirtual1_4820204870 playerVirtual1 192.168.0.200 playerVirtual10 playerVirtual10_2ff0ccc41d 2 2 4096 40 2018-02-14 14:20:15 2018-02-14 14:32:54
22 192.168.0.200 playerVirtual11_8058564 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_8058564 0 1 2048 20 2018-02-14 14:21:05 2018-02-14 14:21:05
23 192.168.0.200 playerVirtual4_1429160667 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_6ef95ffe27 1 1 2048 20 2018-02-14 14:21:06 NULL
24 192.168.0.200 playerVirtual2_3338010893 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_bc421f4c72 1 1 512 1 2018-02-14 14:21:07 NULL
25 192.168.0.200 playerVirtual8_82730999 playerVirtual8 192.168.0.200 playerVirtual2 playerVirtual8_82730999 0 1 512 1 2018-02-14 14:21:11 2018-02-14 14:21:11
26 192.168.0.200 playerVirtual13_351652724 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual13_351652724 0 1 2048 20 2018-02-14 14:21:14 2018-02-14 14:21:14
27 192.168.0.200 playerVirtual3_6571218 playerVirtual3 192.168.0.200 playerVirtual13 playerVirtual13_6430fe421c 1 1 2048 20 2018-02-14 14:21:14 NULL
28 192.168.0.200 playerVirtual6_778566023 playerVirtual6 192.168.0.200 playerVirtual15 playerVirtual15_6fb31f25b9 1 1 512 1 2018-02-14 14:21:16 NULL
29 192.168.0.200 playerVirtual15_1436344784 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual15_1436344784 0 1 2048 20 2018-02-14 14:21:20 2018-02-14 14:21:20
30 192.168.0.200 playerVirtual17_1339662 playerVirtual17 192.168.0.200 playerVirtual19 playerVirtual19_fe53f06970 1 1 2048 20 2018-02-14 14:21:22 NULL
31 192.168.0.200 playerVirtual19_317497342 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_dff96fb06e 1 1 512 1 2018-02-14 14:21:23 NULL
32 192.168.0.200 playerVirtual5_284794223 playerVirtual5 192.168.0.200 playerVirtual9 playerVirtual9_69fabfa962 1 1 2048 20 2018-02-14 14:21:23 NULL
33 192.168.0.200 playerVirtual9_359920779 playerVirtual9 192.168.0.200 playerVirtual5 playerVirtual9_359920779 0 1 512 1 2018-02-14 14:21:23 2018-02-14 14:21:23
34 192.168.0.200 playerVirtual7_904011 playerVirtual7 192.168.0.200 playerVirtual14 playerVirtual14_e2faaaa936 2 1 2048 20 2018-02-14 14:21:24 2018-02-14 14:52:51
35 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual7 playerVirtual14_2904109077 0 1 512 1 2018-02-14 14:21:25 2018-02-14 14:21:25
36 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual0 playerVirtual12_257338074 0 2 4096 40 2018-02-14 14:21:25 2018-02-14 14:21:25
37 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual12 playerVirtual12_ad07244f4b 1 1 2048 20 2018-02-14 14:21:25 NULL
38 192.168.0.200 playerVirtual16_1093460 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_e8dd4f31e5 1 1 512 1 2018-02-14 14:21:26 NULL
39 192.168.0.200 playerVirtual18_6569547 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_bca3d03e7c 1 1 2048 20 2018-02-14 14:21:27 NULL
40 192.168.0.200 playerVirtual10_470485660 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_1934956887 1 2 4096 40 2018-02-14 14:21:28 NULL
41 192.168.0.200 playerVirtual1_30788568 playerVirtual1 192.168.0.200 playerVirtual10 playerVirtual10_e9e4c59ed6 1 1 512 1 2018-02-14 14:23:30 NULL
42 192.168.0.200 playerVirtual11_5792765 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_5792765 0 1 512 1 2018-02-14 14:23:35 2018-02-14 14:23:35
43 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_3a7cc5536a 1 1 512 1 2018-02-14 14:23:43 NULL
44 192.168.0.200 playerVirtual2_400453824 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_95533a2c2f 1 1 512 1 2018-02-14 14:23:44 NULL
45 192.168.0.200 playerVirtual8_4820318661 playerVirtual8 192.168.0.200 playerVirtual2 playerVirtual8_4820318661 0 2 4096 40 2018-02-14 14:23:53 2018-02-14 14:23:53
46 192.168.0.200 playerVirtual13_4819935267 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual13_4819935267 0 2 4096 40 2018-02-14 14:23:57 2018-02-14 14:23:57
47 192.168.0.200 playerVirtual3_4820217293 playerVirtual3 192.168.0.200 playerVirtual13 playerVirtual13_a585bbf7c5 1 2 4096 40 2018-02-14 14:24:02 NULL
48 192.168.0.200 playerVirtual6_6264344062 playerVirtual6 192.168.0.200 playerVirtual15 playerVirtual15_b5cbaf1607 2 1 512 1 2018-02-14 14:24:02 2018-02-14 14:47:40
49 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual15_2378747961 0 1 512 1 2018-02-14 14:24:12 2018-02-14 14:24:12
50 192.168.0.200 playerVirtual17_5068098508 playerVirtual17 192.168.0.200 playerVirtual19 playerVirtual19_9377231bc7 3 1 2048 20 2018-02-14 14:24:17 2018-02-14 14:51:59
51 192.168.0.200 playerVirtual19_227443932 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_42858ff7f0 1 1 2048 20 2018-02-14 14:25:31 NULL
52 192.168.0.200 playerVirtual9_2148750930 playerVirtual9 192.168.0.200 playerVirtual14 playerVirtual14_751c639dce 3 1 2048 20 2018-02-14 14:25:41 2018-02-14 17:26:17
53 192.168.0.200 playerVirtual14_765651 playerVirtual14 192.168.0.200 playerVirtual9 playerVirtual9_2ca3747806 1 1 2048 20 2018-02-14 14:25:51 NULL
54 192.168.0.200 playerVirtual16_5623125514 playerVirtual16 192.168.0.200 playerVirtual12 playerVirtual12_3b9cf18061 1 1 2048 20 2018-02-14 14:26:12 NULL
55 192.168.0.200 playerVirtual18_284757920 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_a733679e59 1 1 2048 20 2018-02-14 14:26:14 NULL
56 192.168.0.200 playerVirtual10_272887063 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_5478f43969 3 1 2048 20 2018-02-14 14:26:25 2018-02-14 14:32:28
57 192.168.0.200 playerVirtual11_38676294 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_90b9791dcb 1 1 512 1 2018-02-14 14:29:57 NULL
58 192.168.0.200 playerVirtual4_182859403 playerVirtual4 192.168.0.200 playerVirtual11 playerVirtual11_826a0bb9d7 3 1 512 1 2018-02-14 14:31:00 2018-02-14 14:33:52
59 192.168.0.200 playerVirtual12_6282149131 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual8_88bb340ed7 1 1 512 1 2018-02-14 14:31:27 NULL
60 192.168.0.200 playerVirtual8_990694203 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_990694203 0 1 2048 20 2018-02-14 14:31:38 2018-02-14 14:31:38
61 192.168.0.200 playerVirtual13_990694203 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_eab2cb273f 3 1 2048 20 2018-02-14 14:31:55 2018-02-14 14:34:36
62 192.168.0.200 playerVirtual15_4476462938 playerVirtual15 192.168.0.200 playerVirtual13 playerVirtual13_613a799202 1 1 2048 20 2018-02-14 14:32:15 NULL
63 192.168.0.200 playerVirtual17_272887063 playerVirtual17 192.168.0.200 playerVirtual14 playerVirtual14_715a229a54 3 1 2048 20 2018-02-14 14:32:23 2018-02-14 16:14:33
64 192.168.0.200 playerVirtual19_2359368952 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_aee4e5d161 1 1 512 1 2018-02-14 14:32:26 NULL
65 192.168.0.200 playerVirtual9_682797 playerVirtual9 192.168.0.200 playerVirtual12 playerVirtual12_d642f19d46 1 1 2048 20 2018-02-14 14:32:46 NULL
66 192.168.0.200 playerVirtual16_16914091 playerVirtual16 192.168.0.200 playerVirtual9 playerVirtual9_a57ccc9d92 1 1 2048 20 2018-02-14 14:32:58 NULL
67 192.168.0.200 playerVirtual18_182859403 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_4459e8d2f4 3 1 512 1 2018-02-14 14:33:10 2018-02-14 14:50:20
68 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_68d13e280b 1 1 512 1 2018-02-14 14:35:25 NULL
69 192.168.0.200 playerVirtual14_6641406 playerVirtual14 192.168.0.200 playerVirtual10 playerVirtual10_bb30673484 1 1 2048 20 2018-02-14 14:36:38 NULL
70 192.168.0.200 playerVirtual12_3338579772 playerVirtual12 192.168.0.200 playerVirtual11 playerVirtual11_2e3d4b4ecd 3 1 2048 20 2018-02-14 14:37:09 2018-02-14 16:29:14
71 192.168.0.200 playerVirtual17_1436344784 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual8_dca7a300c6 3 1 2048 20 2018-02-14 14:38:04 2018-02-14 15:27:45
72 192.168.0.200 playerVirtual10_2381571381 playerVirtual10 192.168.0.200 playerVirtual4 playerVirtual10_2381571381 0 1 2048 20 2018-02-14 14:38:13 2018-02-14 14:38:13
73 192.168.0.200 playerVirtual19_794070039 playerVirtual19 192.168.0.200 playerVirtual13 playerVirtual13_bc94623564 3 1 512 1 2018-02-14 14:39:28 2018-02-14 17:12:32
74 192.168.0.200 playerVirtual16_6296268057 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_e1a04358af 1 1 512 1 2018-02-14 14:42:07 NULL
75 192.168.0.200 playerVirtual18_6296865278 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_d096cbafc9 1 1 512 1 2018-02-14 14:42:24 NULL
76 192.168.0.200 playerVirtual4_990694203 playerVirtual4 192.168.0.200 playerVirtual17 playerVirtual17_2cb3c02b37 3 1 2048 20 2018-02-14 14:44:35 2018-02-14 14:47:26
77 192.168.0.200 playerVirtual8_182859403 playerVirtual8 192.168.0.200 playerVirtual12 playerVirtual12_1d2096c648 3 1 512 1 2018-02-14 14:47:48 2018-02-14 14:50:31
78 192.168.0.200 playerVirtual14_6301942525 playerVirtual14 192.168.0.200 playerVirtual9 playerVirtual9_91fa31fed7 1 1 512 1 2018-02-14 14:47:54 NULL
79 192.168.0.200 playerVirtual13_6264344062 playerVirtual13 192.168.0.200 playerVirtual15 playerVirtual15_bb17c86ada 1 1 2048 20 2018-02-14 14:48:52 NULL
80 192.168.0.200 playerVirtual12_5297461910 playerVirtual12 192.168.0.200 playerVirtual16 playerVirtual16_9853c82d52 3 1 512 1 2018-02-14 14:50:32 2018-02-14 16:13:51
81 192.168.0.200 playerVirtual10_1095593 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_4a231e6944 3 1 512 1 2018-02-14 14:51:41 2018-02-14 14:58:39
82 192.168.0.200 playerVirtual9_6289704471 playerVirtual9 192.168.0.200 playerVirtual10 playerVirtual10_729f55769f 3 1 2048 20 2018-02-14 14:51:52 2018-02-14 14:58:26
83 192.168.0.200 playerVirtual19_6274355716 playerVirtual19 192.168.0.200 playerVirtual11 playerVirtual11_7e33427e4a 1 1 512 1 2018-02-14 14:53:12 NULL
84 192.168.0.200 playerVirtual16_908315 playerVirtual16 192.168.0.200 playerVirtual8 playerVirtual8_e89bcfd391 1 1 2048 20 2018-02-14 14:53:57 NULL
