PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 0 1 1 0
playerVirtual4 3 -1 1 0 1
playerVirtual8 3 1.33 0 1 0
playerVirtual2 3 1.99 1 1 0
playerVirtual3 3 -1 1 0 1
playerVirtual6 3 1.99 0 1 0
playerVirtual5 3 -1 1 0 1
playerVirtual7 3 1.99 1 1 0
playerVirtual9 3 0 1 1 0
playerVirtual0 3 -1 1 0 1
-------
playerVirtual1 3 1.33 1 3 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 3 3.98 1 3 0
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 3.98 0 3 0
playerVirtual5 4 -2 1 0 2
playerVirtual7 3 1.99 1 2 0
playerVirtual9 3 1.33 1 2 0
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 1.33 1 3 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 3 3.98 1 3 0
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 3.98 0 3 0
playerVirtual5 4 -2 1 0 2
playerVirtual7 3 0.99 1 2 1
playerVirtual9 3 0.33 1 2 1
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 2.66 1 4 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 4 0
playerVirtual2 3 2.98 0.75 3 1
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 3.98 0.25 4 0
playerVirtual5 4 -2 1 0 2
playerVirtual7 3 -0.01 1 2 2
playerVirtual9 3 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 1
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 4 1
playerVirtual2 3 1.98 0.75 3 2
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.98 0.2 4 1
playerVirtual5 4 -2 1 0 2
playerVirtual7 3 -0.01 1 2 2
playerVirtual9 3 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 1
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 4 1
playerVirtual2 3 1.98 0.75 3 2
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.98 0.2 4 1
playerVirtual5 4 -2 1 0 2
playerVirtual7 3 -0.01 1 3 2
playerVirtual9 3 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 1
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 4 1
playerVirtual2 3 1.98 0.75 3 2
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.98 0.2 4 1
playerVirtual5 4 -2 1 0 2
playerVirtual7 3 -0.01 1 3 2
playerVirtual9 3 -0.67 1 3 2
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 2
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 4 1
playerVirtual2 3 1.98 0.8 3 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.98 0.2 4 1
playerVirtual5 4 -2 1 0 2
playerVirtual7 3 -0.01 1 3 2
playerVirtual9 3 0.66 1 3 2
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 0.66 1 4 2
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 5 1
playerVirtual2 3 0.98 0.6 3 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.98 0.2 4 2
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 0.66 1 3 2
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 0.66 1 4 2
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.65 0 5 1
playerVirtual2 3 0.98 0.6 3 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.98 0.333333 4 2
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 0.66 1 3 2
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 0.66 1 4 2
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.65 0 5 1
playerVirtual2 3 0.98 0.6 3 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.98 0.333333 4 2
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 0.66 1 3 2
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 0.66 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.65 0 6 1
playerVirtual2 3 0.98 0.6 4 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.98 0.333333 4 2
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 0.66 1 3 3
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 5.64 0 6 1
playerVirtual2 3 2.31 0.666667 4 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.98 0.333333 4 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 -0.34 1 3 3
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 5.64 0.142857 6 1
playerVirtual2 3 2.31 0.666667 4 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.333333 4 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 -0.34 1 3 3
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 5.64 0.142857 6 1
playerVirtual2 3 2.31 0.666667 4 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.333333 4 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 -2.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 5.64 0.142857 6 1
playerVirtual2 3 2.31 0.666667 5 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.428571 4 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 1 5 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 2.65 0.142857 6 1
playerVirtual2 3 3.64 0.666667 5 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.428571 4 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 1.65 1 5 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 2.65 0.142857 6 1
playerVirtual2 3 3.64 0.666667 5 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.428571 5 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 3 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 1.65 1 5 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 2.65 0.142857 6 2
playerVirtual2 3 3.64 0.714286 5 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.97 0.428571 5 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 4 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 1.65 1 5 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 1.65 0.142857 6 2
playerVirtual2 3 3.64 0.714286 5 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.97 0.428571 5 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 4 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 -1.34 1 5 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 1.65 0.142857 6 2
playerVirtual2 3 3.64 0.714286 5 4
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.97 0.5 5 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 4 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 -1.34 1 5 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 4.64 0.142857 6 2
playerVirtual2 3 2.64 0.714286 5 4
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.97 0.5 5 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 4 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 -1.34 1 6 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 4.64 0.142857 6 2
playerVirtual2 3 2.64 0.714286 5 4
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.97 0.5 5 3
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 4 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 0.65 1 6 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 4.64 0.142857 6 2
playerVirtual2 3 2.64 0.714286 5 4
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.97 0.5 5 4
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 4 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 0.65 1 6 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 4.64 0.142857 6 3
playerVirtual2 3 2.64 0.714286 5 4
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.97 0.5 5 4
playerVirtual5 4 -2 1 0 2
playerVirtual7 4 -0.01 1 3 2
playerVirtual9 4 -3.67 1 3 4
playerVirtual0 4 -2 1 0 2
-------
playerVirtual1 3 0.65 1 6 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 2 3.64 0.142857 6 3
playerVirtual2 3 2.64 0.714286 5 4
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.97 0.5 5 4
playerVirtual5 4 -2 1 0 2
