SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 14 0 0
2 36 0 0
3 40 1 0
4 46 1 3
5 46 1 5
6 48 1 7
7 48 1 10
8 46 1 13
9 46 2 15
10 47 2 15
11 48 2 17
12 49 2 19
13 48 2 20
14 49 3 21
15 49 3 22
16 50 4 23
17 48 4 26
18 50 4 26
19 49 4 27
20 51 5 27
21 50 4 29
22 50 4 31
23 49 5 32
24 46 6 34
25 49 6 34
26 47 7 35
27 47 7 35
28 50 7 35
29 48 7 37
30 51 7 37
31 50 7 38
32 49 7 40
33 49 7 41
34 49 7 41
35 49 7 42
36 49 7 43
37 49 7 43
38 50 8 45
39 49 8 46
40 52 8 46
41 51 8 47
42 51 8 47
43 50 8 49
44 51 8 49
45 51 8 50
46 53 8 50
47 53 8 51
48 52 8 52
49 52 8 53
50 52 8 53
51 51 8 54
52 51 9 55
53 52 9 55
54 52 9 55
55 53 9 55
56 56 9 55
57 56 9 56
58 57 9 56
59 57 9 56
60 57 9 56
61 57 9 58
62 56 9 59
63 55 9 60
64 57 9 60
65 56 9 62
66 55 10 64
67 54 10 65
68 53 10 67
69 53 10 67
70 53 10 67
71 53 10 68
72 52 10 69
73 52 10 69
74 54 10 69
75 56 10 69
76 59 10 69
77 59 10 70
78 58 10 71
79 59 10 71
80 59 10 71
81 58 10 72
82 59 10 72
83 59 10 72
84 60 10 72
85 60 11 72
86 61 11 73
87 61 11 74
88 61 11 74
89 62 11 74
90 60 11 76
91 60 11 76
92 60 11 77
93 60 11 77
94 59 11 78
95 60 11 78
96 60 11 78
97 61 11 78
98 61 11 78
99 60 11 79
100 60 12 79
101 59 12 80
102 58 12 81
103 59 12 81
104 59 12 81
105 59 12 81
106 58 12 82
107 58 12 82
108 57 12 83
109 57 12 83
110 58 12 83
