PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 -2 1 0 1
playerVirtual4 3 -2 1 0 1
playerVirtual8 3 1.33 0 1 0
playerVirtual2 3 -2 1 0 1
playerVirtual3 3 -2 1 0 1
playerVirtual6 3 1.99 0 1 0
playerVirtual5 3 -2 1 0 1
playerVirtual9 3 1.99 1 1 0
playerVirtual7 3 0 1 1 0
playerVirtual0 3 -2 1 0 1
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 3 -2.01 0 1 2
playerVirtual5 4 -4 1 0 2
playerVirtual9 3 1.99 1 2 0
playerVirtual7 3 1.33 1 2 0
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 3 -2.01 0 1 2
playerVirtual5 4 -4 1 0 2
playerVirtual9 3 1.99 1 3 0
playerVirtual7 3 -0.67 1 2 1
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 0.66 0.25 3 1
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 3 -0.01 1 3 1
playerVirtual7 3 -2.67 1 2 2
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 -1.34 0.4 3 2
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 3 -0.01 1 3 1
playerVirtual7 3 -4.67 1 2 3
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 -1.34 0.4 3 2
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 3 -0.01 1 3 2
playerVirtual7 3 -4.67 1 2 3
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 -1.34 0.4 3 2
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 3 -2.01 1 3 2
playerVirtual7 4 -4.67 1 2 3
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 -1.34 0.4 3 2
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 3 -2.01 1 3 2
playerVirtual7 4 -4.67 1 2 3
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 -1.34 0.4 3 3
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 4 -4.01 1 3 2
playerVirtual7 4 -4.67 1 2 3
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 3 -3.34 0.4 3 3
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 4 -4.01 1 3 2
playerVirtual7 4 -4.67 1 2 3
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 4 -3.34 0.5 3 3
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 4 -4.01 1 3 2
playerVirtual7 4 -4.67 1 2 3
playerVirtual0 4 -4 1 0 2
-------
playerVirtual1 4 -6 1 0 3
playerVirtual4 4 -6 1 0 3
playerVirtual8 4 -3.34 0.5 3 3
playerVirtual2 4 -0.01 1 2 1
playerVirtual3 4 -6 1 0 3
playerVirtual6 4 -4.01 0.25 1 3
playerVirtual5 4 -4 1 0 2
playerVirtual9 4 -4.01 1 3 2
playerVirtual7 4 -4.67 1 2 3
playerVirtual0 4 -4 1 0 2
-------
