SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 14 0 0
2 34 0 0
3 39 0 1
4 44 1 3
5 47 1 5
6 46 1 8
7 47 1 9
8 44 3 12
9 42 3 14
10 47 3 14
11 50 3 15
12 47 3 19
13 49 3 20
14 47 4 21
15 47 4 22
16 52 4 22
17 50 4 25
18 52 4 25
19 49 4 29
20 49 4 29
21 48 5 30
22 48 5 33
23 47 5 35
24 48 6 35
25 49 6 36
26 51 6 36
27 51 6 37
28 49 7 40
29 48 7 42
30 49 7 43
31 51 7 43
32 50 7 45
33 49 7 46
34 50 7 46
35 49 7 48
36 50 7 49
37 53 8 49
38 54 8 49
39 50 8 53
40 51 8 53
41 52 9 53
42 51 9 54
43 50 9 56
44 52 9 56
45 53 9 57
46 54 9 58
47 51 9 61
48 52 9 61
49 53 9 61
50 53 9 62
