ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_475b85cccf 1 1 1 2048 20 2018-02-18 13:42:16 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_1438244924 0 1 1 2048 20 2018-02-18 13:42:18 2018-02-18 13:42:18
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_e7490c2a4f 1 1 1 512 1 2018-02-18 13:42:21 NULL
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_2381571381 0 1 1 2048 20 2018-02-18 13:42:22 2018-02-18 13:42:22
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_9fb0d0033d 2 1 1 512 1 2018-02-18 13:42:23 2018-02-18 14:16:12
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_2790332778 0 1 2 4096 40 2018-02-18 13:42:26 2018-02-18 13:42:26
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_a80703871a 1 1 2 4096 40 2018-02-18 13:42:28 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_317469422 0 1 2 4096 40 2018-02-18 13:42:28 2018-02-18 13:42:28
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_930d06eb10 3 1 1 2048 20 2018-02-18 13:42:29 2018-02-18 14:01:58
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_1d45c79bc3 1 1 2 4096 40 2018-02-18 13:42:29 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_3584940347 0 1 1 512 1 2018-02-18 13:42:30 2018-02-18 13:42:30
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_ea1dc51006 1 1 1 2048 20 2018-02-18 13:42:30 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual7_0b96d24d3f 3 1 1 2048 20 2018-02-18 13:42:31 2018-02-18 14:03:45
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_1c2de256ec 1 1 2 4096 40 2018-02-18 13:42:31 NULL
