PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 0 1 1 0
playerVirtual11 3 0 1 1 0
playerVirtual4 3 -1 1 0 1
playerVirtual8 3 1.33 0 1 0
playerVirtual2 3 -1 1 0 1
playerVirtual3 3 -1 1 0 1
playerVirtual6 3 1.99 0 1 0
playerVirtual5 3 -1 1 0 1
playerVirtual9 3 1.99 1 1 0
playerVirtual7 3 0 1 1 0
playerVirtual0 3 -1 1 0 1
playerVirtual10 3 -1 1 0 1
-------
playerVirtual1 3 1.33 1 3 0
playerVirtual11 3 3.32 1 3 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 3.98 0 3 0
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 1.99 1 2 0
playerVirtual7 3 -1 1 1 1
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.33 1 3 0
playerVirtual11 3 3.32 1 3 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 3.98 0 3 0
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 3.32 1 3 0
playerVirtual7 3 -2 1 1 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 2.66 1 4 0
playerVirtual11 3 2.32 1 3 1
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 3 1
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 2.98 0.25 3 1
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 3.32 1 4 0
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 1
playerVirtual11 3 1.32 1 3 2
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0.2 3 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.98 0.2 3 2
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 3.32 1 4 0
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 1
playerVirtual11 3 1.32 1 3 2
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0.2 3 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.98 0.2 3 2
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 0.99 1 5 0
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 0.8 4 1
playerVirtual11 3 1.32 1 3 2
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0.2 3 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.98 0.2 3 2
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 0.99 1 5 0
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 0.66 0.8 4 2
playerVirtual11 3 0.32 1 3 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0.2 3 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 1.98 0.2 3 2
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 0.99 1 5 0
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 0.66 0.8 4 2
playerVirtual11 3 0.32 1 3 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.166667 4 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.333333 3 3
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 0.99 1 5 0
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 0.66 0.8 4 2
playerVirtual11 3 0.32 1 3 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.166667 4 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.333333 3 3
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 0.99 1 5 0
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 0.8 4 3
playerVirtual11 3 0.32 1 3 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.285714 4 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.333333 3 3
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -0.01 1 5 1
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 0.833333 4 3
playerVirtual11 3 2.31 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.285714 5 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 0.98 0.333333 3 3
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -0.01 1 5 1
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 0.833333 4 3
playerVirtual11 3 2.31 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.285714 5 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -0.02 0.333333 3 4
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -0.01 0.833333 5 1
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 0.833333 4 3
playerVirtual11 3 2.31 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.285714 5 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -0.02 0.333333 3 4
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -1.01 0.833333 5 2
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 -0.34 0.833333 4 3
playerVirtual11 3 2.31 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.285714 5 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -0.02 0.428571 3 4
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -1.01 0.833333 5 2
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.65 0.833333 5 3
playerVirtual11 3 2.31 1 4 3
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.285714 5 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -0.02 0.428571 3 4
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -1.01 0.833333 5 2
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.65 0.833333 5 3
playerVirtual11 3 2.31 1 4 4
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.99 0.285714 6 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -0.02 0.428571 3 4
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -1.01 0.833333 5 2
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.65 0.857143 5 3
playerVirtual11 3 1.31 1 4 4
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.98 0.25 6 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -0.02 0.428571 3 5
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -1.01 0.833333 5 2
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.65 0.857143 6 3
playerVirtual11 3 1.31 1 4 4
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.98 0.25 6 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -1.02 0.428571 3 5
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -1.01 0.833333 5 2
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.65 0.857143 6 3
playerVirtual11 3 1.31 1 4 4
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.98 0.25 6 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -1.02 0.428571 3 5
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -1.01 0.857143 5 3
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.65 0.857143 6 3
playerVirtual11 3 1.31 1 4 4
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.98 0.25 6 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
playerVirtual6 3 -1.02 0.375 3 5
playerVirtual5 4 -1 1 1 1
playerVirtual9 3 -2.01 0.857143 5 3
playerVirtual7 4 -0.67 1 2 2
playerVirtual0 4 -2 1 0 2
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.65 0.857143 6 3
playerVirtual11 3 1.31 1 4 5
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.98 0.25 7 2
playerVirtual2 4 -3 1 0 3
playerVirtual3 4 -3 1 0 3
