ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_fc528d2061 1 1 2048 20 2018-02-15 15:41:19 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_6ad474aa15 3 1 2048 20 2018-02-15 15:41:21 2018-02-15 16:07:06
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_543bd7101b 1 1 512 1 2018-02-15 15:41:25 NULL
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_2381571381 0 1 2048 20 2018-02-15 15:41:26 2018-02-15 15:41:26
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_f0ca2cb501 2 1 512 1 2018-02-15 15:41:27 2018-02-15 16:15:10
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_2790332778 0 2 4096 40 2018-02-15 15:41:30 2018-02-15 15:41:30
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_dd2aa1d4f0 1 2 4096 40 2018-02-15 15:41:32 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_317469422 0 2 4096 40 2018-02-15 15:41:32 2018-02-15 15:41:32
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_dde0ccf4e4 3 1 2048 20 2018-02-15 15:41:32 2018-02-15 16:01:02
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_fff078ca69 1 2 4096 40 2018-02-15 15:41:33 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_3584940347 0 1 512 1 2018-02-15 15:41:34 2018-02-15 15:41:34
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_fded8efb13 1 1 2048 20 2018-02-15 15:41:34 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual7_36e2c91fde 3 1 2048 20 2018-02-15 15:41:35 2018-02-15 16:02:45
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_417cb9b76f 1 2 4096 40 2018-02-15 15:41:35 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_81e9c4f66d 3 1 512 1 2018-02-15 15:41:42 2018-02-15 15:55:04
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_bd28d02640 3 1 512 1 2018-02-15 15:41:45 2018-02-15 15:49:58
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_48d26a2d21 2 1 512 1 2018-02-15 15:41:48 2018-02-15 17:35:39
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_2545640208 0 1 2048 20 2018-02-15 15:41:58 2018-02-15 15:41:58
