ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_97b8f2ff49 1 1 2048 20 2018-02-16 15:59:25 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_085fafbb05 2 1 2048 20 2018-02-16 15:59:27 2018-02-16 16:24:50
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_c064422947 1 1 512 1 2018-02-16 15:59:30 NULL
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_2381571381 0 1 2048 20 2018-02-16 15:59:33 2018-02-16 15:59:33
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_b5a8124a4e 3 1 512 1 2018-02-16 15:59:34 2018-02-16 16:34:45
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual2_0de9dd6818 1 2 4096 40 2018-02-16 15:59:37 NULL
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_ccf76459ba 1 2 4096 40 2018-02-16 15:59:39 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_317469422 0 2 4096 40 2018-02-16 15:59:39 2018-02-16 15:59:39
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_12c7bce984 3 1 2048 20 2018-02-16 15:59:39 2018-02-16 16:19:09
10 192.168.0.200 playerVirtual19_257338104 playerVirtual19 192.168.0.200 playerVirtual15 playerVirtual15_fcc00553ee 1 2 4096 40 2018-02-16 15:59:40 NULL
11 192.168.0.200 playerVirtual17_3584940347 playerVirtual17 192.168.0.200 playerVirtual19 playerVirtual19_8096d7166b 1 1 512 1 2018-02-16 15:59:41 NULL
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual9 playerVirtual9_1a885d9500 1 1 2048 20 2018-02-16 15:59:41 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual5 playerVirtual5_05a55272f8 3 1 2048 20 2018-02-16 15:59:42 2018-02-16 16:20:54
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual14 playerVirtual14_d94e6cc4de 1 2 4096 40 2018-02-16 15:59:42 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual7 playerVirtual14_182859403 0 1 512 1 2018-02-16 15:59:49 2018-02-16 15:59:49
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual0 playerVirtual12_2359368952 0 1 512 1 2018-02-16 15:59:52 2018-02-16 15:59:52
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual12 playerVirtual12_7cd9f34069 2 1 512 1 2018-02-16 15:59:57 2018-02-16 17:52:48
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_0cd66378ed 1 1 2048 20 2018-02-16 16:00:04 NULL
19 192.168.0.200 playerVirtual18_908315 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_115cc07b56 3 1 2048 20 2018-02-16 16:00:06 2018-02-16 16:42:03
20 192.168.0.200 playerVirtual10_539194189 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual10_539194189 0 1 2048 20 2018-02-16 16:00:14 2018-02-16 16:00:14
