ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_1c2f54ef4c 1 1 2048 20 2018-02-16 08:48:33 NULL
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_f400ec71d1 3 1 2048 20 2018-02-16 08:48:35 2018-02-16 09:14:19
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_f2f70cf284 1 1 512 1 2018-02-16 08:48:38 NULL
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_2381571381 0 1 2048 20 2018-02-16 08:48:40 2018-02-16 08:48:40
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_75a46deb49 3 1 512 1 2018-02-16 08:48:41 2018-02-16 09:37:19
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual2_169db42858 1 2 4096 40 2018-02-16 08:48:44 NULL
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_b8f4c76a67 1 2 4096 40 2018-02-16 08:48:45 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_317469422 0 2 4096 40 2018-02-16 08:48:46 2018-02-16 08:48:46
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_65f7803ca3 2 1 2048 20 2018-02-16 08:48:46 2018-02-16 09:07:51
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual17_257338104 0 2 4096 40 2018-02-16 08:48:47 2018-02-16 08:48:47
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_3584940347 0 1 512 1 2018-02-16 08:48:47 2018-02-16 08:48:47
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_888f29bd86 1 1 2048 20 2018-02-16 08:48:47 NULL
13 192.168.0.200 playerVirtual9_3338579772 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual7_66dc6f879c 3 1 2048 20 2018-02-16 08:48:48 2018-02-16 09:10:01
14 192.168.0.200 playerVirtual7_257407216 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_aa9fb618c3 1 2 4096 40 2018-02-16 08:48:49 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual14_182859403 0 1 512 1 2018-02-16 08:48:58 2018-02-16 08:48:58
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual12_2359368952 0 1 512 1 2018-02-16 08:49:00 2018-02-16 08:49:00
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_9a07f4bdaf 2 1 512 1 2018-02-16 08:49:04 2018-02-16 10:49:53
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_2545640208 0 1 2048 20 2018-02-16 08:49:13 2018-02-16 08:49:13
19 192.168.0.200 playerVirtual18_908315 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual18_908315 0 1 2048 20 2018-02-16 08:49:14 2018-02-16 08:49:14
20 192.168.0.200 playerVirtual10_539194189 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_e87122c7b1 2 1 2048 20 2018-02-16 08:49:22 2018-02-16 09:28:41
21 192.168.0.200 playerVirtual1_4820204870 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_c7cd587dbb 3 2 4096 40 2018-02-16 08:51:58 2018-02-16 09:05:21
22 192.168.0.200 playerVirtual11_8058564 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_3b82408312 1 1 2048 20 2018-02-16 08:52:48 NULL
23 192.168.0.200 playerVirtual4_1429160667 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_bac11dc6f8 1 1 2048 20 2018-02-16 08:52:50 NULL
24 192.168.0.200 playerVirtual8_3338010893 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_3338010893 0 1 512 1 2018-02-16 08:52:52 2018-02-16 08:52:52
25 192.168.0.200 playerVirtual2_82730999 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_28e082766c 3 1 512 1 2018-02-16 08:52:55 2018-02-16 10:34:20
26 192.168.0.200 playerVirtual3_6571218 playerVirtual3 192.168.0.200 playerVirtual2 playerVirtual2_85f3128b47 1 1 2048 20 2018-02-16 08:52:58 NULL
27 192.168.0.200 playerVirtual13_351652724 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual3_5d45df9e32 1 1 2048 20 2018-02-16 08:52:58 NULL
28 192.168.0.200 playerVirtual6_778566023 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_3bb0e186ea 1 1 512 1 2018-02-16 08:53:00 NULL
29 192.168.0.200 playerVirtual15_1436344784 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual6_9cdbf14ea0 2 1 2048 20 2018-02-16 08:53:05 2018-02-16 09:18:19
30 192.168.0.200 playerVirtual17_1339662 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual17_1339662 0 1 2048 20 2018-02-16 08:53:06 2018-02-16 08:53:06
31 192.168.0.200 playerVirtual19_317497342 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_317497342 0 1 512 1 2018-02-16 08:53:08 2018-02-16 08:53:08
32 192.168.0.200 playerVirtual9_359920779 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_6d45e44cc1 2 1 512 1 2018-02-16 08:53:10 2018-02-16 09:55:45
33 192.168.0.200 playerVirtual5_284794223 playerVirtual5 192.168.0.200 playerVirtual7 playerVirtual7_27ad766010 1 1 2048 20 2018-02-16 08:53:10 NULL
34 192.168.0.200 playerVirtual7_904011 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_e8fc779713 2 1 2048 20 2018-02-16 08:53:11 2018-02-16 09:31:49
35 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual12_257338074 0 2 4096 40 2018-02-16 08:53:11 2018-02-16 08:53:11
36 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual14_2904109077 0 1 512 1 2018-02-16 08:53:11 2018-02-16 08:53:11
37 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_571da68dd5 1 1 2048 20 2018-02-16 08:53:12 NULL
38 192.168.0.200 playerVirtual16_1093460 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_1093460 0 1 512 1 2018-02-16 08:53:12 2018-02-16 08:53:12
39 192.168.0.200 playerVirtual18_6569547 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual18_6569547 0 1 2048 20 2018-02-16 08:53:13 2018-02-16 08:53:13
40 192.168.0.200 playerVirtual10_470485660 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_51b8ff12a9 1 2 4096 40 2018-02-16 08:53:14 NULL
41 192.168.0.200 playerVirtual1_30788568 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_43f1a28467 1 1 512 1 2018-02-16 08:55:13 NULL
42 192.168.0.200 playerVirtual11_5792765 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_2cda88c306 3 1 512 1 2018-02-16 08:55:16 2018-02-16 11:08:47
43 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_b590c4960d 1 1 512 1 2018-02-16 08:55:27 NULL
44 192.168.0.200 playerVirtual8_400453824 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_400453824 0 1 512 1 2018-02-16 08:55:28 2018-02-16 08:55:28
45 192.168.0.200 playerVirtual2_4820318661 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_0bac219435 3 2 4096 40 2018-02-16 08:55:37 2018-02-16 11:55:43
46 192.168.0.200 playerVirtual3_4819935267 playerVirtual3 192.168.0.200 playerVirtual2 playerVirtual2_336b394bf4 1 2 4096 40 2018-02-16 08:55:42 NULL
47 192.168.0.200 playerVirtual13_4820217293 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual3_d03d990972 1 2 4096 40 2018-02-16 08:55:44 NULL
48 192.168.0.200 playerVirtual6_6264344062 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_755ae8355c 3 1 512 1 2018-02-16 08:55:46 2018-02-16 09:17:26
49 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual6_f4b3960a3e 2 1 512 1 2018-02-16 08:55:56 2018-02-16 09:15:12
50 192.168.0.200 playerVirtual17_5068098508 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual17_5068098508 0 1 2048 20 2018-02-16 08:56:01 2018-02-16 08:56:01
51 192.168.0.200 playerVirtual19_227443932 playerVirtual19 192.168.0.200 playerVirtual7 playerVirtual19_227443932 0 1 2048 20 2018-02-16 08:57:16 2018-02-16 08:57:16
52 192.168.0.200 playerVirtual9_1095593 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_301206e186 3 1 512 1 2018-02-16 08:57:18 2018-02-16 09:17:34
53 192.168.0.200 playerVirtual7_563574327 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_ce7b516491 1 1 2048 20 2018-02-16 08:57:32 NULL
54 192.168.0.200 playerVirtual16_5623125514 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_3125dc16ea 1 1 2048 20 2018-02-16 08:57:58 NULL
55 192.168.0.200 playerVirtual18_284757920 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_7fc5202aed 1 1 2048 20 2018-02-16 08:58:01 NULL
56 192.168.0.200 playerVirtual1_6274355716 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_52f31e327b 3 1 512 1 2018-02-16 09:00:49 2018-02-16 09:20:12
57 192.168.0.200 playerVirtual11_38676294 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_98971501ad 1 1 512 1 2018-02-16 09:01:41 NULL
58 192.168.0.200 playerVirtual8_4820204870 playerVirtual8 192.168.0.200 playerVirtual2 playerVirtual8_4820204870 0 2 4096 40 2018-02-16 09:03:01 2018-02-16 09:03:01
59 192.168.0.200 playerVirtual2_990694203 playerVirtual2 192.168.0.200 playerVirtual8 playerVirtual8_dd0d2804ff 3 1 2048 20 2018-02-16 09:03:22 2018-02-16 11:05:15
60 192.168.0.200 playerVirtual3_990694203 playerVirtual3 192.168.0.200 playerVirtual17 playerVirtual17_afedfcd3aa 3 1 2048 20 2018-02-16 09:03:37 2018-02-16 11:30:21
61 192.168.0.200 playerVirtual13_6280638724 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual3_b4ab6f650b 1 1 512 1 2018-02-16 09:03:46 NULL
62 192.168.0.200 playerVirtual6_6280643141 playerVirtual6 192.168.0.200 playerVirtual7 playerVirtual6_6280643141 0 1 512 1 2018-02-16 09:03:47 2018-02-16 09:03:47
63 192.168.0.200 playerVirtual17_272887063 playerVirtual17 192.168.0.200 playerVirtual6 playerVirtual17_272887063 0 1 2048 20 2018-02-16 09:04:07 2018-02-16 09:04:07
64 192.168.0.200 playerVirtual19_2359368952 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual19_2359368952 0 1 512 1 2018-02-16 09:04:11 2018-02-16 09:04:11
65 192.168.0.200 playerVirtual9_1436323714 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_6f9a946f96 1 1 2048 20 2018-02-16 09:04:24 NULL
66 192.168.0.200 playerVirtual7_214880781 playerVirtual7 192.168.0.200 playerVirtual18 playerVirtual18_118580d141 1 1 2048 20 2018-02-16 09:04:37 NULL
67 192.168.0.200 playerVirtual16_16914091 playerVirtual16 192.168.0.200 playerVirtual1 playerVirtual16_16914091 0 1 2048 20 2018-02-16 09:04:42 2018-02-16 09:04:42
68 192.168.0.200 playerVirtual18_182859403 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_aa56ef710c 3 1 512 1 2018-02-16 09:04:56 2018-02-16 09:22:06
69 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual13 playerVirtual13_b8e3cda603 1 1 512 1 2018-02-16 09:07:08 NULL
70 192.168.0.200 playerVirtual8_1438244924 playerVirtual8 192.168.0.200 playerVirtual2 playerVirtual8_1438244924 0 1 2048 20 2018-02-16 09:08:06 2018-02-16 09:08:06
71 192.168.0.200 playerVirtual13_6289355687 playerVirtual13 192.168.0.200 playerVirtual11 playerVirtual11_6166aaf255 1 1 512 1 2018-02-16 09:09:08 NULL
72 192.168.0.200 playerVirtual6_1438244924 playerVirtual6 192.168.0.200 playerVirtual8 playerVirtual6_1438244924 0 1 2048 20 2018-02-16 09:09:14 2018-02-16 09:09:14
73 192.168.0.200 playerVirtual17_6289704471 playerVirtual17 192.168.0.200 playerVirtual3 playerVirtual17_6289704471 0 1 512 1 2018-02-16 09:09:33 2018-02-16 09:09:33
74 192.168.0.200 playerVirtual19_1436344784 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_871793d7b2 3 1 2048 20 2018-02-16 09:11:04 2018-02-16 09:56:14
75 192.168.0.200 playerVirtual7_990694203 playerVirtual7 192.168.0.200 playerVirtual6 playerVirtual6_1c4525b5af 2 1 2048 20 2018-02-16 09:12:06 2018-02-16 09:19:24
76 192.168.0.200 playerVirtual1_794070039 playerVirtual1 192.168.0.200 playerVirtual7 playerVirtual7_3aaaa58a73 3 1 512 1 2018-02-16 09:13:46 2018-02-16 11:46:38
77 192.168.0.200 playerVirtual16_6296268057 playerVirtual16 192.168.0.200 playerVirtual9 playerVirtual16_6296268057 0 1 512 1 2018-02-16 09:13:52 2018-02-16 09:13:52
78 192.168.0.200 playerVirtual18_6296865278 playerVirtual18 192.168.0.200 playerVirtual19 playerVirtual19_688eebb8df 1 1 512 1 2018-02-16 09:14:11 NULL
79 192.168.0.200 playerVirtual2_182859403 playerVirtual2 192.168.0.200 playerVirtual18 playerVirtual18_ce15fe224d 3 1 512 1 2018-02-16 09:19:32 2018-02-16 09:22:14
80 192.168.0.200 playerVirtual3_6264344062 playerVirtual3 192.168.0.200 playerVirtual1 playerVirtual1_060186e5be 1 1 2048 20 2018-02-16 09:20:27 NULL
81 192.168.0.200 playerVirtual13_6289704471 playerVirtual13 192.168.0.200 playerVirtual16 playerVirtual16_60ea1b24ed 3 1 2048 20 2018-02-16 09:23:48 2018-02-16 09:30:18
82 192.168.0.200 playerVirtual19_1095593 playerVirtual19 192.168.0.200 playerVirtual2 playerVirtual19_1095593 0 1 512 1 2018-02-16 09:24:24 2018-02-16 09:24:24
83 192.168.0.200 playerVirtual16_539194189 playerVirtual16 192.168.0.200 playerVirtual8 playerVirtual16_539194189 0 1 2048 20 2018-02-16 09:25:42 2018-02-16 09:25:42
84 192.168.0.200 playerVirtual11_908315 playerVirtual11 192.168.0.200 playerVirtual13 playerVirtual13_263bd8055a 1 1 2048 20 2018-02-16 09:27:04 NULL
85 192.168.0.200 playerVirtual3_4246147567 playerVirtual3 192.168.0.200 playerVirtual17 playerVirtual17_6579124866 3 2 4096 40 2018-02-16 09:28:56 2018-02-16 12:49:05
86 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual3 playerVirtual3_a08044382e 3 2 4096 40 2018-02-16 09:30:53 2018-02-16 09:39:29
87 192.168.0.200 playerVirtual6_6289704471 playerVirtual6 192.168.0.200 playerVirtual9 playerVirtual6_6289704471 0 1 2048 20 2018-02-16 09:31:05 2018-02-16 09:31:05
88 192.168.0.200 playerVirtual1_4246147567 playerVirtual1 192.168.0.200 playerVirtual6 playerVirtual6_96b68b30d0 3 2 4096 40 2018-02-16 09:36:06 2018-02-16 12:25:20
89 192.168.0.200 playerVirtual8_6315250734 playerVirtual8 192.168.0.200 playerVirtual19 playerVirtual19_ab45ebeb2f 1 1 512 1 2018-02-16 09:37:16 NULL
90 192.168.0.200 playerVirtual11_990694203 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_b77038250d 3 1 2048 20 2018-02-16 09:37:42 2018-02-16 09:51:28
91 192.168.0.200 playerVirtual16_5068098508 playerVirtual16 192.168.0.200 playerVirtual1 playerVirtual16_5068098508 0 1 2048 20 2018-02-16 09:37:52 2018-02-16 09:37:52
92 192.168.0.200 playerVirtual6_6322213339 playerVirtual6 192.168.0.200 playerVirtual16 playerVirtual16_3dfc48f43f 1 1 512 1 2018-02-16 09:41:55 NULL
93 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual2 playerVirtual18_4246147567 0 2 4096 40 2018-02-16 09:45:25 2018-02-16 09:45:25
94 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual17 playerVirtual17_ef3db3d0a2 3 2 4096 40 2018-02-16 09:45:35 2018-02-16 10:31:43
95 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual17_4246147567 0 2 4096 40 2018-02-16 09:45:55 2018-02-16 09:45:55
96 192.168.0.200 playerVirtual2_359920779 playerVirtual2 192.168.0.200 playerVirtual3 playerVirtual3_733a3ebb25 3 1 512 1 2018-02-16 09:45:56 2018-02-16 12:37:31
97 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual11 playerVirtual11_1798c15324 3 2 4096 40 2018-02-16 09:47:39 2018-02-16 12:35:47
98 192.168.0.200 playerVirtual19_1095593 playerVirtual19 192.168.0.200 playerVirtual13 playerVirtual19_1095593 0 1 512 1 2018-02-16 09:48:51 2018-02-16 09:48:51
99 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_c93b5038ba 3 2 4096 40 2018-02-16 09:51:56 2018-02-16 10:04:08
100 192.168.0.200 playerVirtual3_4246147567 playerVirtual3 192.168.0.200 playerVirtual19 playerVirtual19_4ef32f932e 3 2 4096 40 2018-02-16 09:55:27 2018-02-16 12:49:05
101 192.168.0.200 playerVirtual1_4246147567 playerVirtual1 192.168.0.200 playerVirtual16 playerVirtual16_87de67fda5 3 2 4096 40 2018-02-16 10:02:03 2018-02-16 12:25:20
102 192.168.0.200 playerVirtual2_4246147567 playerVirtual2 192.168.0.200 playerVirtual1 playerVirtual1_3d11ce4c3f 3 2 4096 40 2018-02-16 10:04:08 2018-02-16 11:40:21
103 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual2 playerVirtual2_94f35f7cf9 3 2 4096 40 2018-02-16 10:05:11 2018-02-16 12:45:19
104 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual17_4246147567 0 2 4096 40 2018-02-16 10:13:33 2018-02-16 10:13:33
105 192.168.0.200 playerVirtual18_6344084916 playerVirtual18 192.168.0.200 playerVirtual1 playerVirtual18_6344084916 0 1 512 1 2018-02-16 10:14:01 2018-02-16 10:14:01
106 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual18 playerVirtual18_155938ec85 3 2 4096 40 2018-02-16 10:15:02 2018-02-16 10:31:43
107 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual17 playerVirtual17_b12e4db266 3 2 4096 40 2018-02-16 10:15:35 2018-02-16 12:35:47
108 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual3 playerVirtual19_4246147567 0 2 4096 40 2018-02-16 10:16:38 2018-02-16 10:16:38
109 192.168.0.200 playerVirtual3_82730999 playerVirtual3 192.168.0.200 playerVirtual11 playerVirtual11_b81c86a7bf 1 1 512 1 2018-02-16 10:24:43 NULL
110 192.168.0.200 playerVirtual18_6566788 playerVirtual18 192.168.0.200 playerVirtual13 playerVirtual18_6566788 0 1 2048 20 2018-02-16 10:26:27 2018-02-16 10:26:27
111 192.168.0.200 playerVirtual1_6566788 playerVirtual1 192.168.0.200 playerVirtual2 playerVirtual2_794360685d 3 1 2048 20 2018-02-16 10:31:03 2018-02-16 10:38:08
112 192.168.0.200 playerVirtual16_16917741 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_1beb2a4e78 3 1 512 1 2018-02-16 10:33:56 2018-02-16 11:22:52
113 192.168.0.200 playerVirtual11_4820150269 playerVirtual11 192.168.0.200 playerVirtual16 playerVirtual16_a04e339490 3 2 4096 40 2018-02-16 10:35:59 2018-02-16 10:49:46
114 192.168.0.200 playerVirtual3_4246147567 playerVirtual3 192.168.0.200 playerVirtual8 playerVirtual8_7e0a1e8b36 3 2 4096 40 2018-02-16 10:40:46 2018-02-16 12:49:05
115 192.168.0.200 playerVirtual2_990694203 playerVirtual2 192.168.0.200 playerVirtual1 playerVirtual1_60733beebc 3 1 2048 20 2018-02-16 10:44:37 2018-02-16 11:05:15
116 192.168.0.200 playerVirtual13_3338579772 playerVirtual13 192.168.0.200 playerVirtual18 playerVirtual18_c4760b79c6 1 1 2048 20 2018-02-16 10:45:26 NULL
117 192.168.0.200 playerVirtual8_5068098508 playerVirtual8 192.168.0.200 playerVirtual2 playerVirtual8_5068098508 0 1 2048 20 2018-02-16 10:45:49 2018-02-16 10:45:49
118 192.168.0.200 playerVirtual18_1436344784 playerVirtual18 192.168.0.200 playerVirtual17 playerVirtual17_a16b39820d 1 1 2048 20 2018-02-16 10:46:39 NULL
119 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual3 playerVirtual19_4246147567 0 2 4096 40 2018-02-16 10:47:38 2018-02-16 10:47:38
120 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual13 playerVirtual16_4246147567 0 2 4096 40 2018-02-16 10:49:36 2018-02-16 10:49:36
121 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual19 playerVirtual19_14130724de 1 2 4096 40 2018-02-16 10:49:40 NULL
122 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual16 playerVirtual16_9b31d5e9de 3 2 4096 40 2018-02-16 10:54:29 2018-02-16 12:35:47
123 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual8 playerVirtual18_4246147567 0 2 4096 40 2018-02-16 11:01:18 2018-02-16 11:01:18
124 192.168.0.200 playerVirtual1_4246147567 playerVirtual1 192.168.0.200 playerVirtual2 playerVirtual2_df0e363fe3 3 2 4096 40 2018-02-16 11:03:15 2018-02-16 12:25:20
125 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual1 playerVirtual8_4246147567 0 2 4096 40 2018-02-16 11:05:22 2018-02-16 11:05:22
126 192.168.0.200 playerVirtual3_990694203 playerVirtual3 192.168.0.200 playerVirtual18 playerVirtual18_f4a134e34b 3 1 2048 20 2018-02-16 11:15:08 2018-02-16 11:30:21
127 192.168.0.200 playerVirtual2_4246147567 playerVirtual2 192.168.0.200 playerVirtual8 playerVirtual8_fe92f746c9 3 2 4096 40 2018-02-16 11:19:44 2018-02-16 11:40:21
128 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_872054e755 1 2 4096 40 2018-02-16 11:21:36 NULL
129 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual3 playerVirtual3_beb77d9564 3 2 4096 40 2018-02-16 11:25:05 2018-02-16 12:45:19
130 192.168.0.200 playerVirtual13_990694203 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_66163fdde3 3 1 2048 20 2018-02-16 11:30:38 2018-02-16 11:56:00
131 192.168.0.200 playerVirtual18_2148750930 playerVirtual18 192.168.0.200 playerVirtual13 playerVirtual18_2148750930 0 1 2048 20 2018-02-16 11:38:01 2018-02-16 11:38:01
132 192.168.0.200 playerVirtual1_904011 playerVirtual1 192.168.0.200 playerVirtual2 playerVirtual2_8787b2e30e 1 1 2048 20 2018-02-16 11:38:59 NULL
133 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual1 playerVirtual8_4246147567 0 2 4096 40 2018-02-16 11:41:38 2018-02-16 11:41:38
134 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_fe7e7a80cb 1 2 4096 40 2018-02-16 11:42:51 NULL
135 192.168.0.200 playerVirtual3_4246147567 playerVirtual3 192.168.0.200 playerVirtual16 playerVirtual16_c38ae821a1 3 2 4096 40 2018-02-16 11:52:44 2018-02-16 12:49:05
136 192.168.0.200 playerVirtual19_16917741 playerVirtual19 192.168.0.200 playerVirtual8 playerVirtual19_16917741 0 1 512 1 2018-02-16 11:58:55 2018-02-16 11:58:55
137 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual3 playerVirtual18_4246147567 0 2 4096 40 2018-02-16 12:00:01 2018-02-16 12:00:01
138 192.168.0.200 playerVirtual11_794070039 playerVirtual11 192.168.0.200 playerVirtual17 playerVirtual17_e2ff81457a 1 1 512 1 2018-02-16 12:03:38 NULL
139 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_cb5c07ee5c 3 2 4096 40 2018-02-16 12:11:23 2018-02-16 12:35:47
140 192.168.0.200 playerVirtual1_4246147567 playerVirtual1 192.168.0.200 playerVirtual13 playerVirtual13_f679bd0df3 3 2 4096 40 2018-02-16 12:18:41 2018-02-16 12:25:20
141 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual1 playerVirtual1_18abe637dd 1 1 512 1 2018-02-16 12:20:04 NULL
142 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual2 playerVirtual8_4246147567 0 2 4096 40 2018-02-16 12:21:11 2018-02-16 12:21:11
143 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_ada6601729 3 2 4096 40 2018-02-16 12:25:48 2018-02-16 12:45:19
144 192.168.0.200 playerVirtual3_4246147567 playerVirtual3 192.168.0.200 playerVirtual8 playerVirtual8_4a485ab3e8 3 2 4096 40 2018-02-16 12:33:52 2018-02-16 12:49:05
