ID PLAYER ALL_REQUEST ACCEPTS REJECTS FAIRNESS TIMESTAMP
1	0	0	0	0	0	2018-02-22 10:12:20
2	3	6	4	2	0.666667	2018-02-22 10:17:20
3	4	14	8	6	0.571429	2018-02-22 10:22:20
4	6	20	12	8	0.6	2018-02-22 10:27:21
5	7	30	18	12	0.6	2018-02-22 10:32:21
6	9	37	24	13	0.648649	2018-02-22 10:37:21
7	10	46	30	16	0.652174	2018-02-22 10:42:21
8	11	54	35	19	0.648148	2018-02-22 10:47:21
9	12	60	40	20	0.666667	2018-02-22 10:52:21
10	14	65	44	21	0.676923	2018-02-22 10:57:22
11	15	71	46	25	0.647887	2018-02-22 11:02:22
12	16	78	52	26	0.666667	2018-02-22 11:07:22
13	17	84	57	27	0.678571	2018-02-22 11:12:22
14	18	88	60	28	0.681818	2018-02-22 11:17:22
15	19	92	64	28	0.695652	2018-02-22 11:22:22
16	20	95	66	29	0.694737	2018-02-22 11:27:22
17	21	101	73	28	0.722772	2018-02-22 11:32:23
18	23	105	75	30	0.714286	2018-02-22 11:37:23
19	24	109	78	31	0.715596	2018-02-22 11:42:23
20	24	112	80	32	0.714286	2018-02-22 11:47:23
21	24	117	85	32	0.726496	2018-02-22 11:52:23
22	24	122	88	34	0.721311	2018-02-22 11:57:23
23	25	125	89	36	0.712	2018-02-22 12:02:24
24	25	131	93	38	0.709924	2018-02-22 12:07:24
25	25	132	94	38	0.712121	2018-02-22 12:12:24
26	25	133	95	38	0.714286	2018-02-22 12:17:24
27	25	136	98	38	0.720588	2018-02-22 12:22:24
28	26	139	99	40	0.71223	2018-02-22 12:27:24
29	26	142	100	42	0.704225	2018-02-22 12:32:25
30	26	148	104	44	0.702703	2018-02-22 12:37:25
31	26	149	103	46	0.691275	2018-02-22 12:42:25
