PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual2 3 0 0 2 0
playerVirtual0 3 -4 1 0 2
-------
playerVirtual2 3 3.98 0 4 0
playerVirtual0 4 -8 1 0 4
-------
playerVirtual2 2 5.31 0.2 6 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 3 0 0.5 2 0
playerVirtual1358 3 -2 1 0 1
-------
playerVirtual2 2 5.31 0.428571 6 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 3 2.66 0.25 5 0
playerVirtual1358 4 -6 1 0 3
-------
playerVirtual2 2 5.31 0.555556 6 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.4 8 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 3 0 1 1 0
playerVirtual1471 3 0 0 0 0
-------
playerVirtual2 2 5.31 0.6 7 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.428571 8 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 3 1.33 0.5 3 0
playerVirtual1471 3 -4 1 0 2
-------
playerVirtual2 2 5.31 0.666667 7 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.5 9 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 3 2.66 0.25 5 0
playerVirtual1471 3 -10 1 0 5
playerVirtual8 3 1.33 0 2 0
-------
playerVirtual2 2 6.64 0.692308 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.6 9 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 3 3.99 0.2 6 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 3 2.66 0 3 0
-------
playerVirtual2 2 6.64 0.714286 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.636364 9 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 5.98 0.333333 7 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 5.32 0.333333 5 0
playerVirtual10 3 1.99 0 1 0
playerVirtual1699 3 0 0 0 0
-------
playerVirtual2 2 6.64 0.6875 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.666667 9 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 5.98 0.5 7 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 5.32 0.25 7 0
playerVirtual10 3 3.32 0 4 0
playerVirtual1699 3 -8 1 0 4
-------
playerVirtual2 2 6.64 0.6875 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.692308 9 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 5.98 0.5 7 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 6.65 0.4 8 0
playerVirtual10 2 5.31 0 6 0
playerVirtual1699 3 -10 1 0 5
-------
playerVirtual2 2 6.64 0.6875 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.714286 10 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 5.98 0.444444 7 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 7.98 0.5 9 0
playerVirtual10 2 5.31 0 7 0
playerVirtual1699 4 -12 1 0 6
-------
playerVirtual2 2 6.64 0.705882 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.31 0.642857 11 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 5.98 0.444444 7 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 7.98 0.333333 9 0
playerVirtual10 2 5.31 0 7 0
playerVirtual1699 4 -12 1 0 6
playerVirtual1064 3 0 0 0 0
-------
playerVirtual2 2 6.64 0.722222 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 8.64 0.666667 12 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 5.98 0.5 7 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 7.98 0.285714 11 0
playerVirtual10 2 5.31 0.2 8 0
playerVirtual1699 4 -12 1 0 6
playerVirtual1064 3 -2 0 0 1
-------
playerVirtual2 2 6.64 0.722222 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 8.64 0.625 12 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 5.98 0.5 7 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 7.98 0.375 11 0
playerVirtual10 2 6.64 0.166667 9 0
playerVirtual1699 4 -12 1 0 6
playerVirtual1064 3 -6 0 0 3
-------
playerVirtual2 2 6.64 0.722222 9 0
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 8.64 0.625 12 0
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 5.98 0.454545 7 0
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 7.98 0.333333 11 0
playerVirtual10 2 6.64 0.142857 9 0
playerVirtual1699 4 -12 1 0 6
playerVirtual1064 4 -12 0 0 6
-------
playerVirtual2 2 5.64 0.684211 9 1
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.64 0.588235 12 1
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 4.98 0.416667 7 1
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 7.98 0.333333 11 0
playerVirtual10 2 6.64 0.142857 9 0
playerVirtual1699 4 -12 1 0 6
playerVirtual1064 4 -12 0 0 6
-------
playerVirtual2 2 5.64 0.7 9 1
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.64 0.588235 12 1
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 4.98 0.416667 7 1
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 7.98 0.3 11 0
playerVirtual10 2 5.64 0.142857 9 1
playerVirtual1699 4 -12 1 0 6
playerVirtual1064 4 -12 0 0 6
playerVirtual19 3 1.33 0 1 0
playerVirtual1956 3 0 0 0 0
-------
playerVirtual2 2 5.64 0.7 9 1
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.64 0.588235 12 1
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 4.98 0.416667 7 1
playerVirtual1471 4 -14 1 0 7
playerVirtual8 2 7.98 0.363636 11 0
playerVirtual10 2 5.64 0.125 9 1
playerVirtual1699 4 -12 1 0 6
playerVirtual1064 4 -12 0 0 6
playerVirtual19 3 2.66 0 2 0
playerVirtual1956 3 -2 0 0 1
-------
playerVirtual2 2 5.64 0.7 9 1
playerVirtual0 4 -8 1 0 4
playerVirtual4 2 7.64 0.588235 12 1
playerVirtual1358 4 -6 1 0 3
playerVirtual6 2 4.98 0.416667 7 1
