SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 6 0 0
2 14 0 0
3 22 0 0
4 24 0 0
5 24 0 0
6 24 0 0
7 24 0 0
8 24 0 1
9 24 0 1
10 23 0 2
11 24 0 2
12 24 0 2
13 24 0 2
14 24 0 2
15 24 0 2
16 26 0 2
17 28 0 2
18 29 0 2
19 31 0 2
20 31 0 2
21 31 0 2
22 30 0 3
23 30 0 3
24 30 0 3
25 31 0 3
26 31 0 3
27 31 0 3
28 32 0 3
29 32 0 3
30 32 0 3
31 35 0 3
32 36 0 4
33 35 0 5
34 37 0 5
35 36 0 6
36 40 0 7
37 41 0 7
38 40 0 8
39 42 0 8
40 41 0 9
41 40 0 11
42 41 0 11
43 42 0 11
44 42 0 11
45 42 0 11
46 40 0 13
47 41 0 13
48 42 0 13
49 42 0 13
50 41 0 14
