PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 1.33 1 2 0
playerVirtual2 3 0 1 1 0
playerVirtual0 3 0 1 0 0
-------
playerVirtual1 2 5.31 1 6 0
playerVirtual2 3 1.33 1 2 0
playerVirtual0 3 0 1 1 0
playerVirtual3 2 5.31 1 4 0
-------
playerVirtual1 2 7.3 1 7 0
playerVirtual2 3 0.33 0.833333333333333 2 1
playerVirtual0 3 -2 0.8 1 2
playerVirtual3 2 8.63 1 6 0
playerVirtual4 3 0 0 2 0
-------
playerVirtual1 2 8.63 1 9 0
playerVirtual2 3 -0.67 0.857142857142857 2 2
playerVirtual0 3 -2 0.857142857142857 1 2
playerVirtual3 2 8.63 1 7 0
playerVirtual4 3 1.33 0 5 0
-------
playerVirtual1 2 7.63 1 9 1
playerVirtual2 3 -2.67 0.666666666666667 2 4
playerVirtual0 3 -4 0.666666666666667 1 4
playerVirtual3 1 11.95 0.833333333333333 9 0
playerVirtual4 3 -0.67 0 5 2
-------
playerVirtual1 2 6.63 0.9 9 3
playerVirtual2 3 -3.67 0.6 2 5
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.714285714285714 9 0
playerVirtual4 3 -2.67 0 5 4
-------
playerVirtual1 2 4.63 0.818181818181818 9 4
playerVirtual2 3 -6.67 0.5 2 8
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.555555555555556 9 0
playerVirtual4 3 -4.67 0 5 6
-------
playerVirtual1 2 3.63 0.75 9 5
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.5 9 0
playerVirtual4 4 -5.67 0 5 7
-------
playerVirtual1 2 2.63 0.692307692307692 9 6
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.454545454545455 9 0
playerVirtual4 4 -5.67 0 5 7
-------
playerVirtual1 2 1.63 0.642857142857143 9 7
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.416666666666667 9 0
playerVirtual4 4 -5.67 0 5 7
-------
playerVirtual1 2 0.629999999999999 0.6 9 8
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.384615384615385 9 0
playerVirtual4 4 -5.67 0 5 7
-------
playerVirtual1 2 -0.370000000000001 0.6 9 9
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.357142857142857 9 0
playerVirtual4 4 -5.67 0 5 7
-------
playerVirtual1 2 -1.37 0.5625 9 10
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.333333333333333 9 0
playerVirtual4 4 -5.67 0 5 7
-------
playerVirtual1 2 -1.37 0.5625 9 10
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.333333333333333 9 0
playerVirtual4 4 -5.67 0 5 7
-------
playerVirtual1 2 -2.37 0.529411764705882 9 11
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.3125 9 0
playerVirtual4 4 -5.67 0 5 7
-------
playerVirtual1 2 -2.37 0.529411764705882 9 11
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.3125 9 0
playerVirtual4 4 -5.67 0 5 7
playerVirtual5 3 0 0 0 0
-------
playerVirtual1 2 -2.37 0.529411764705882 9 11
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.352941176470588 9 0
playerVirtual4 4 -5.67 0 5 7
playerVirtual5 3 0 0 1 0
-------
playerVirtual1 2 -2.37 0.529411764705882 9 11
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.388888888888889 9 0
playerVirtual4 4 -5.67 0 5 7
playerVirtual5 3 2.66 0 3 0
-------
playerVirtual1 2 -2.37 0.529411764705882 9 11
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.421052631578947 9 0
playerVirtual4 4 -5.67 0 5 7
playerVirtual5 3 2.66 0 5 0
-------
playerVirtual1 2 -2.37 0.529411764705882 9 11
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.45 9 0
playerVirtual4 4 -5.67 0 5 7
playerVirtual5 3 3.99 0 7 0
-------
playerVirtual1 2 -2.37 0.529411764705882 9 12
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.428571428571429 9 0
playerVirtual4 4 -5.67 0 5 7
playerVirtual5 3 2.99 0 7 1
-------
playerVirtual1 2 -2.37 0.529411764705882 9 12
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.428571428571429 9 0
playerVirtual4 4 -5.67 0 5 7
playerVirtual5 3 2.99 0 7 1
-------
playerVirtual1 2 -2.37 0.529411764705882 9 12
playerVirtual2 4 -7.67 0.5 2 9
playerVirtual0 4 -5 0.6 1 5
playerVirtual3 1 11.95 0.428571428571429 9 0
playerVirtual4 4 -5.67 0 5 7
