+----+--------------+---------+---------+----------+---------------------+
| id | all_requests | accepts | rejects | fairness | timestamp           |
+----+--------------+---------+---------+----------+---------------------+
|  1 |            0 |       0 |       0 |        0 | 2018-01-04 11:05:25 |
|  2 |            0 |       0 |       0 |        0 | 2018-01-04 11:10:25 |
|  3 |           50 |      50 |       0 |        1 | 2018-01-04 11:15:25 |
|  4 |           80 |      80 |       0 |        1 | 2018-01-04 11:20:25 |
|  5 |           94 |      94 |       0 |        1 | 2018-01-04 11:25:25 |
|  6 |          104 |     104 |       0 |        1 | 2018-01-04 11:30:25 |
|  7 |          130 |     130 |       0 |        1 | 2018-01-04 11:35:25 |
|  8 |          150 |     150 |       0 |        1 | 2018-01-04 11:40:25 |
|  9 |          175 |     175 |       0 |        1 | 2018-01-04 11:45:25 |
| 10 |          192 |     192 |       0 |        1 | 2018-01-04 11:50:25 |
| 11 |          202 |     202 |       0 |        1 | 2018-01-04 11:55:26 |
| 12 |          208 |     208 |       0 |        1 | 2018-01-04 12:00:26 |
| 13 |          221 |     221 |       0 |        1 | 2018-01-04 12:05:26 |
| 14 |          228 |     228 |       0 |        1 | 2018-01-04 12:10:26 |
| 15 |          241 |     241 |       0 |        1 | 2018-01-04 12:15:26 |
| 16 |          250 |     250 |       0 |        1 | 2018-01-04 12:20:26 |
| 17 |          263 |     263 |       0 |        1 | 2018-01-04 12:25:26 |
| 18 |          272 |     272 |       0 |        1 | 2018-01-04 12:30:26 |
| 19 |          288 |     288 |       0 |        1 | 2018-01-04 12:35:26 |
| 20 |          297 |     297 |       0 |        1 | 2018-01-04 12:40:26 |
| 21 |          302 |     302 |       0 |        1 | 2018-01-04 12:45:26 |
| 22 |          309 |     309 |       0 |        1 | 2018-01-04 12:50:26 |
| 23 |          315 |     315 |       0 |        1 | 2018-01-04 12:55:27 |
| 24 |          319 |     319 |       0 |        1 | 2018-01-04 13:00:27 |
| 25 |          327 |     327 |       0 |        1 | 2018-01-04 13:05:27 |
| 26 |          330 |     330 |       0 |        1 | 2018-01-04 13:10:27 |
| 27 |          340 |     340 |       0 |        1 | 2018-01-04 13:15:27 |
| 28 |          352 |     352 |       0 |        1 | 2018-01-04 13:20:27 |
| 29 |          357 |     357 |       0 |        1 | 2018-01-04 13:25:27 |
| 30 |          360 |     360 |       0 |        1 | 2018-01-04 13:30:27 |
| 31 |          367 |     367 |       0 |        1 | 2018-01-04 13:35:27 |
| 32 |          369 |     369 |       0 |        1 | 2018-01-04 13:40:27 |
| 33 |          373 |     373 |       0 |        1 | 2018-01-04 13:45:28 |
| 34 |          374 |     374 |       0 |        1 | 2018-01-04 13:50:28 |
+----+--------------+---------+---------+----------+---------------------+


+------------------+-------+---------+----------+---------+---------+---------+
| name             | score | history | fairness | accepts | running | rejects |
+------------------+-------+---------+----------+---------+---------+---------+
| playerVirtual34  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual36  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual38  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual39  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual41  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual42  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual44  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual45  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual47  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual48  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual50  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual51  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual53  |     0 |       0 |        1 |       4 |       4 |       0 |
| playerVirtual54  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual56  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual57  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual59  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual60  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual62  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual63  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual65  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual67  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual69  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual71  |     0 |       0 |        1 |       4 |       4 |       0 |
| playerVirtual73  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual76  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual78  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual80  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual82  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual85  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual87  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual89  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual91  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual94  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual97  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual100 |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual0   |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual1   |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual66  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual68  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual70  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual72  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual74  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual77  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual79  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual81  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual83  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual86  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual88  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual90  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual92  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual95  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual98  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual2   |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual3   |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual4   |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual5   |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual96  |     0 |       0 |        1 |       4 |       3 |       0 |
| playerVirtual99  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual6   |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual7   |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual8   |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual9   |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual10  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual11  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual12  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual13  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual14  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual15  |     0 |       0 |        1 |       4 |       1 |       0 |
| playerVirtual16  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual17  |     0 |       0 |        1 |       4 |       2 |       0 |
| playerVirtual18  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual19  |     0 |       0 |        1 |       3 |       2 |       0 |
| playerVirtual20  |     0 |       0 |        1 |       3 |       2 |       0 |
| playerVirtual21  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual22  |     0 |       0 |        1 |       3 |       3 |       0 |
| playerVirtual23  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual24  |     0 |       0 |        1 |       3 |       2 |       0 |
| playerVirtual25  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual26  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual27  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual28  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual29  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual30  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual31  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual32  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual33  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual35  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual37  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual40  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual43  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual46  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual49  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual52  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual55  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual58  |     0 |       0 |        1 |       3 |       0 |       0 |
| playerVirtual61  |     0 |       0 |        1 |       3 |       2 |       0 |
| playerVirtual64  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual75  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual84  |     0 |       0 |        1 |       3 |       1 |       0 |
| playerVirtual93  |     0 |       0 |        1 |       3 |       2 |       0 |
+------------------+-------+---------+----------+---------+---------+---------+

