ID PLAYERS RESQUESTS ACCEPTS REJECTS FAIRNESS
1 100 0 0 0 0
2 100 44 44 0 1.0
3 100 77 77 0 1.0
4 100 93 93 0 1.0
5 100 104 104 0 1.0
6 100 127 127 0 1.0
7 100 146 146 0 1.0
8 100 168 168 0 1.0
9 100 190 190 0 1.0
10 100 201 201 0 1.0
11 100 207 207 0 1.0
12 100 217 217 0 1.0
13 100 227 227 0 1.0
14 100 240 240 0 1.0
15 100 250 250 0 1.0
16 100 263 263 0 1.0
17 100 274 274 0 1.0
18 100 284 284 0 1.0
19 100 295 295 0 1.0
20 100 300 300 0 1.0
21 100 308 308 0 1.0
22 100 315 315 0 1.0
23 100 322 322 0 1.0
24 100 327 327 0 1.0
25 100 335 335 0 1.0
26 100 345 345 0 1.0
27 100 351 351 0 1.0
28 100 356 356 0 1.0
29 100 362 362 0 1.0
30 100 366 366 0 1.0
31 100 369 369 0 1.0
32 100 371 371 0 1.0
33 100 373 373 0 1.0
34 100 374 374 0 1.0
