ID RESQUESTS ACCEPTS FAIRNESS PLAYERS
1 0  0  0   100
2 44 10 1.0 100
3 50 50 1.0 100
4 80 80 1.0 100
5 94 94 1.0 100
6 104 104 1.0 100
7 130 130 1.0 100
8 150 150 1.0 100
9 175 175 1.0 100
10 192 192 1.0 100
11 202 202 1.0 100
12 208 208 1.0 100
13 221 221 1.0 100
14 228 228 1.0 100
15 241 241 1.0 100
16 250 250 1.0 100
17 263 263 1.0 100
18 272 272 1.0 100
19 288 288 1.0 100
20 297 297 1.0 100
21 302 302 1.0 100
22 309 309 1.0 100
23 315 315 1.0 100
24 319 319 1.0 100
25 327 327 1.0 100
26 330 330 1.0 100
27 340 340 1.0 100
28 352 352 1.0 100
29 357 357 1.0 100
30 360 360 1.0 100
31 367 367 1.0 100
32 369 369 1.0 100
33 373 373 1.0 100
34 374 374 1.0 100

