ID PLAYERS ALL_REQUESTS ACCEPTS REJECTS FAIRNESS
1 0 0 0 0 0
2 1 0 0 0 0
3 2 7 6 1 0.857143
4 3 17 15 2 0.882353
5 4 24 22 2 0.916667
6 5 33 30 3 0.909091
7 6 44 41 3 0.931818
8 7 50 47 3 0.94
9 8 58 55 3 0.948276
10 9 65 62 3 0.953846
11 10 72 69 3 0.958333
12 11 79 76 3 0.962025
13 12 84 81 3 0.964286
14 13 88 85 3 0.965909
15 14 92 89 3 0.967391
16 15 95 92 3 0.968421
17 16 99 96 3 0.969697
18 17 103 100 3 0.970874
19 18 107 104 3 0.971963
20 19 113 110 3 0.973451
21 20 116 113 3 0.974138
22 21 120 117 3 0.975
23 22 124 121 3 0.975806
24 23 130 127 3 0.976923
25 24 136 133 3 0.977941
26 25 137 134 3 0.978102
27 26 142 139 3 0.978873
28 27 145 142 3 0.97931
29 28 148 145 3 0.97973
30 29 154 151 3 0.980519
31 30 157 154 3 0.980892
32 31 160 157 3 0.98125
33 32 167 164 3 0.982036
34 33 173 170 3 0.982659
35 34 178 175 3 0.983146
36 35 182 179 3 0.983516
37 36 190 187 3 0.984211
38 37 192 189 3 0.984375
39 38 194 191 3 0.984536
40 39 199 196 3 0.984925
41 40 202 199 3 0.985148
42 41 208 205 3 0.985577
43 42 215 212 3 0.986046
44 43 219 216 3 0.986301
45 44 223 220 3 0.986547
46 45 228 225 3 0.986842
47 46 230 227 3 0.986957
48 47 236 233 3 0.987288
49 48 241 238 3 0.987552
50 49 246 243 3 0.987805
51 50 253 250 3 0.988142
52 51 258 255 3 0.988372
53 52 266 263 3 0.988722
54 53 270 267 3 0.988889
55 54 274 271 3 0.989051
56 55 278 275 3 0.989209
57 56 281 278 3 0.989324
58 57 285 282 3 0.989474
59 58 287 284 3 0.989547
60 59 290 287 3 0.989655
61 60 297 294 3 0.989899
62 61 300 297 3 0.99
63 62 306 303 3 0.990196
64 63 310 307 3 0.990323
65 64 314 311 3 0.990446
66 65 319 316 3 0.990596
67 66 324 321 3 0.990741
68 67 330 327 3 0.990909
69 68 334 331 3 0.991018
70 69 338 335 3 0.991124
71 70 340 337 3 0.991176
72 71 342 339 3 0.991228
73 72 344 341 3 0.991279
74 73 347 344 3 0.991354
75 74 350 347 3 0.991429
76 75 352 349 3 0.991477
77 76 355 352 3 0.991477
78 77 357 354 3 0.991549
79 78 361 358 3 0.991596
80 79 363 360 3 0.991735
81 80 367 364 3 0.991825
82 81 369 366 3 0.991869
83 82 372 369 3 0.991935
84 83 374 371 3 0.991978
85 84 374 371 3 0.991978
86 85 374 371 3 0.991978
87 86 374 371 3 0.991978
88 87 374 371 3 0.991978
89 88 374 371 3 0.991978
90 89 374 371 3 0.991978
91 90 374 371 3 0.991978
92 91 374 371 3 0.991978
93 92 374 371 3 0.991978
94 93 374 371 3 0.991978
95 94 374 371 3 0.991978
96 95 374 371 3 0.991978
97 96 374 371 3 0.991978
98 97 374 371 3 0.991978
99 98 374 371 3 0.991978
100 99 374 371 3 0.991978
101 100 374 371 3 0.991978
