id players all_requests accepts rejects fairness timestamp
1 0 0 0 0 0 2018-01-16 03:29:26
2 1 0 0 0 0 2018-01-16 03:34:26
3 2 7 6 1 0.857143 2018-01-16 03:39:27
4 3 17 15 2 0.882353 2018-01-16 03:44:27
5 4 24 22 2 0.916667 2018-01-16 03:49:27
6 5 33 30 3 0.909091 2018-01-16 03:54:27
7 6 44 41 3 0.931818 2018-01-16 03:59:27
8 7 50 47 3 0.94 2018-01-16 04:04:27
9 8 58 55 3 0.948276 2018-01-16 04:09:27
10 9 65 62 3 0.953846 2018-01-16 04:14:27
11 10 72 69 3 0.958333 2018-01-16 04:19:28
12 11 79 76 3 0.962025 2018-01-16 04:24:28
13 12 84 81 3 0.964286 2018-01-16 04:29:28
14 13 88 85 3 0.965909 2018-01-16 04:34:28
15 14 92 89 3 0.967391 2018-01-16 04:39:28
16 15 95 92 3 0.968421 2018-01-16 04:44:28
17 16 99 96 3 0.969697 2018-01-16 04:49:28
18 17 103 100 3 0.970874 2018-01-16 04:54:28
19 18 107 104 3 0.971963 2018-01-16 04:59:29
20 19 113 110 3 0.973451 2018-01-16 05:04:29
21 20 116 113 3 0.974138 2018-01-16 05:09:29
22 21 120 117 3 0.975 2018-01-16 05:14:29
23 22 124 121 3 0.975806 2018-01-16 05:19:29
24 23 130 127 3 0.976923 2018-01-16 05:24:29
25 24 136 133 3 0.977941 2018-01-16 05:29:29
26 25 137 134 3 0.978102 2018-01-16 05:34:29
27 26 142 139 3 0.978873 2018-01-16 05:39:30
28 27 145 142 3 0.97931 2018-01-16 05:44:30
29 28 148 145 3 0.97973 2018-01-16 05:49:30
30 29 154 151 3 0.980519 2018-01-16 05:54:30
31 30 157 154 3 0.980892 2018-01-16 05:59:30
32 31 160 157 3 0.98125 2018-01-16 06:04:30
33 32 167 164 3 0.982036 2018-01-16 06:09:30
34 33 173 170 3 0.982659 2018-01-16 06:14:31
35 34 178 175 3 0.983146 2018-01-16 06:19:31
36 35 182 179 3 0.983516 2018-01-16 06:24:31
37 36 190 187 3 0.984211 2018-01-16 06:29:31
38 37 192 189 3 0.984375 2018-01-16 06:34:31
39 38 194 191 3 0.984536 2018-01-16 06:39:31
40 39 199 196 3 0.984925 2018-01-16 06:44:31
41 40 202 199 3 0.985148 2018-01-16 06:49:32
42 41 208 205 3 0.985577 2018-01-16 06:54:32
43 42 215 212 3 0.986046 2018-01-16 06:59:32
44 43 219 216 3 0.986301 2018-01-16 07:04:32
45 44 223 220 3 0.986547 2018-01-16 07:09:32
46 45 228 225 3 0.986842 2018-01-16 07:14:32
47 46 230 227 3 0.986957 2018-01-16 07:19:33
48 47 236 233 3 0.987288 2018-01-16 07:24:33
49 48 241 238 3 0.987552 2018-01-16 07:29:33
50 49 246 243 3 0.987805 2018-01-16 07:34:33
51 50 253 250 3 0.988142 2018-01-16 07:39:33
52 51 258 255 3 0.988372 2018-01-16 07:44:33
53 52 266 263 3 0.988722 2018-01-16 07:49:33
54 53 270 267 3 0.988889 2018-01-16 07:54:34
55 54 274 271 3 0.989051 2018-01-16 07:59:34
56 55 278 275 3 0.989209 2018-01-16 08:04:34
57 56 281 278 3 0.989324 2018-01-16 08:09:34
58 57 285 282 3 0.989474 2018-01-16 08:14:34
59 58 287 284 3 0.989547 2018-01-16 08:19:34
60 59 290 287 3 0.989655 2018-01-16 08:24:35
61 60 297 294 3 0.989899 2018-01-16 08:29:35
62 61 300 297 3 0.99 2018-01-16 08:34:35
63 62 306 303 3 0.990196 2018-01-16 08:39:35
64 63 310 307 3 0.990323 2018-01-16 08:44:35
65 64 314 311 3 0.990446 2018-01-16 08:49:35
66 65 319 316 3 0.990596 2018-01-16 08:54:35
67 66 324 321 3 0.990741 2018-01-16 08:59:35
68 67 330 327 3 0.990909 2018-01-16 09:04:36
69 68 334 331 3 0.991018 2018-01-16 09:09:36
70 69 338 335 3 0.991124 2018-01-16 09:14:36
71 70 340 337 3 0.991176 2018-01-16 09:19:36
72 71 342 339 3 0.991228 2018-01-16 09:24:36
73 72 344 341 3 0.991279 2018-01-16 09:29:36
74 73 347 344 3 0.991354 2018-01-16 09:34:36
75 74 350 347 3 0.991429 2018-01-16 09:39:37
76 75 352 349 3 0.991477 2018-01-16 09:44:37
