ID PLAYERS RESQUESTS ACCEPTS REJECTS FAIRNESS
1 0 0 0 0 0 
2 1.0 0 0 0 0 
3 2 8 8 0 1.0 
4 3 17 17 0 1.0 
5 4 24 24 0 1.0 
6 5 34 34 0 1.0 
7 6 44 44 0 1.0 
8 7 51 51 0 1.0 
9 8 61 61 0 1.0 
10 9 66 66 0 1.0 
11 10 74 74 0 1.0 
12 11 80 80 0 1.0 
13 12 86 86 0 1.0 
14 13 89 89 0 1.0 
15 14 95 95 0 1.0 
16 15 96 96 0 1.0 
17 16 100 100 0 1.0 
18 17 104 104 0 1.0 
19 18 109 109 0 1.0 
20 19 115 115 0 1.0 
21 20 119 119 0 1.0 
22 21 124 124 0 1.0 
23 22 126 126 0 1.0 
24 23 132 132 0 1.0 
25 24 137 137 0 1.0 
26 25 139 139 0 1.0 
27 26 143 143 0 1.0 
28 27 146 146 0 1.0 
29 28 150 150 0 1.0 
30 29 157 157 0 1.0 
31 30 162 162 0 1.0 
32 31 165 165 0 1.0 
33 32 170 170 0 1.0 
34 33 175 175 0 1.0 
35 34 179 179 0 1.0 
36 35 185 185 0 1.0 
37 36 192 192 0 1.0 
38 37 197 197 0 1.0 
39 38 200 200 0 1.0 
40 39 203 203 0 1.0 
41 40 208 208 0 1.0 
42 41 213 213 0 1.0 
43 42 218 218 0 1.0 
44 43 220 220 0 1.0 
45 44 230 230 0 1.0 
46 45 233 233 0 1.0 
47 46 237 237 0 1.0 
48 47 242 242 0 1.0 
49 48 247 247 0 1.0 
50 49 255 255 0 1.0 
51 50 260 260 0 1.0 
52 51 266 266 0 1.0 
53 52 269 269 0 1.0 
54 53 276 276 0 1.0 
55 54 280 280 0 1.0 
56 55 285 285 0 1.0 
57 56 289 289 0 1.0 
58 57 294 294 0 1.0 
59 58 297 297 0 1.0 
60 59 301 301 0 1.0 
61 60 303 303 0 1.0 
62 61 310 310 0 1.0 
63 62 314 314 0 1.0 
64 63 320 320 0 1.0 
65 64 328 328 0 1.0 
66 65 333 333 0 1.0 
67 66 340 340 0 1.0 
68 67 346 346 0 1.0 
69 68 348 348 0 1.0 
70 69 353 353 0 1.0 
71 70 356 356 0 1.0 
72 71 359 359 0 1.0 
73 72 361 361 0 1.0 
74 73 362 362 0 1.0 
75 74 364 364 0 1.0 
76 75 367 367 0 1.0 
77 76 369 369 0 1.0 
78 77 371 371 0 1.0 
79 78 371 371 0 1.0 
80 79 371 371 0 1.0 
81 80 371 371 0 1.0 
82 81 371 371 0 1.0 
83 82 371 371 0 1.0 
84 83 371 371 0 1.0 
85 84 371 371 0 1.0 
86 85 371 371 0 1.0 
87 86 371 371 0 1.0 
88 87 371 371 0 1.0 
89 88 371 371 0 1.0 
90 89 371 371 0 1.0 
91 90 371 371 0 1.0 
92 91 371 371 0 1.0 
93 92 371 371 0 1.0 
94 93 371 371 0 1.0 
95 94 371 371 0 1.0 
96 95 371 371 0 1.0 
97 96 371 371 0 1.0 
98 97 371 371 0 1.0 
99 98 371 371 0 1.0 
100 99 371 371 0 1.0 
101 100 371 371 0 1.0 
