ID PLAYERS REQUESTS ACCEPTS REJECTS FAIRNESS
1 10 0 0 0 0
2 10 11 11 0 1
3 11 32 32 0 1
4 12 50 48 2 0.96
5 13 65 50 15 0.769231
6 14 74 53 21 0.716216
7 15 82 54 28 0.658537
8 16 84 54 30 0.642857
9 17 87 56 31 0.643678
10 18 91 59 32 0.648352
11 19 92 60 32 0.652174
12 20 96 64 32 0.666667
13 21 97 65 32 0.670103
14 22 102 68 34 0.666667
15 23 106 69 37 0.650943
16 24 108 69 39 0.638889
17 25 113 69 44 0.610619
18 26 114 69 45 0.605263
19 27 116 70 46 0.603448
20 28 117 71 46 0.606838
21 29 118 71 47 0.601695
22 30 120 72 48 0.6
23 31 121 73 48 0.603306
24 32 124 73 51 0.58871
25 33 125 74 51 0.592
26 34 126 76 50 0.603175
27 35 128 76 52 0.59375
28 36 129 76 53 0.589147
29 37 131 77 54 0.587786
30 38 134 78 56 0.58209
31 39 135 79 56 0.585185
32 40 137 80 57 0.583942
33 41 137 80 57 0.583942
34 42 139 81 58 0.582734
35 43 140 81 59 0.578571
36 44 141 81 60 0.574468
37 45 142 83 59 0.584507
38 46 142 83 59 0.584507
39 47 143 83 60 0.58042
40 48 144 85 59 0.590278
41 49 146 86 60 0.589041
42 50 148 86 62 0.581081
43 51 150 88 62 0.586667
44 52 152 92 60 0.605263
45 53 155 93 62 0.6
46 54 158 93 65 0.588608
47 55 159 93 66 0.584906
48 56 161 94 67 0.583851
49 57 164 95 69 0.579268
50 58 166 96 70 0.578313
51 59 168 98 70 0.583333
52 60 169 100 69 0.591716
53 61 170 101 69 0.594118
54 62 171 101 70 0.590643
55 63 172 102 70 0.593023
56 64 172 102 70 0.593023
57 65 173 103 70 0.595376
58 66 174 103 71 0.591954
59 67 175 104 71 0.594286
60 68 177 105 72 0.59322
61 69 179 106 73 0.592179
62 70 183 107 76 0.584699
63 71 185 107 78 0.578378
64 72 186 108 78 0.580645
65 73 187 108 79 0.57754
66 74 191 110 81 0.575916
67 75 193 112 81 0.580311
68 76 196 114 82 0.581633
69 77 197 114 83 0.57868
70 78 198 114 84 0.575758
71 79 200 114 86 0.57
72 80 203 116 87 0.571429
73 81 204 116 88 0.568627
74 82 205 116 89 0.565854
75 83 207 117 90 0.565217
76 84 208 117 91 0.5625
77 85 211 120 91 0.56872
78 86 212 121 91 0.570755
79 87 213 122 91 0.57277
80 88 213 122 91 0.57277
81 89 213 122 91 0.57277
82 90 214 123 91 0.574766
83 91 215 124 91 0.576744
84 92 216 124 92 0.574074
85 93 216 124 92 0.574074
86 94 218 125 93 0.573394
87 95 221 126 95 0.570136
88 96 223 126 97 0.565022
89 97 226 128 98 0.566372
90 98 228 129 99 0.565789
91 99 231 130 101 0.562771
92 100 232 130 102 0.560345
