SAMPLE AWARE NOTAWARE
0 0 0
1 1.0 1.0
2 1.0 1.0
3 1.0 1.0
4 1.0 1.0
5 0.99 1.0
6 0.97 1.0
7 0.95 1.0
8 0.93 1.0
9 0.91 1.0
10 0.896 1.0
11 0.888 1.0
12 0.880 1.0
13 0.876 1.0
14 0.878 1.0
15 0.880 1.0
16 0.876 1.0
17 0.872 1.0
18 0.868 1.0
19 0.864 1.0
20 0.860 1.0
21 0.862 1.0
22 0.864 1.0
23 0.866 1.0
24 0.868 1.0
25 0.870 1.0
26 0.872 1.0
27 0.874 1.0
28 0.876 1.0
29 0.878 1.0
30 0.880 1.0
31 0.882 1.0
32 0.884 1.0
33 0.886 1.0
34 0.888 1.0
35 0.890 1.0
36 0.892 1.0
37 0.894 1.0
38 0.896 1.0
39 0.898 1.0
40 0.9 1.0
41 0.9 1.0
42 0.9 1.0
43 0.9 1.0
44 0.9 1.0
45 0.9 1.0
46 0.9 1.0
47 0.9 1.0
48 0.9 1.0
49 0.9 1.0
50 0.9 1.0
