SAMPLE AWARE NOTAWARE
0 0 0
1 1.0 1.0
2 1.0 1.0
3 0.8 1.0
4 0.8 0.8
5 0.7 0.65
6 0.6 0.55
7 0.510 0.480
8 0.490 0.455
9 0.480 0.452
10 0.479 0.449
11 0.476 0.447
12 0.473 0.449
13 0.466 0.447
14 0.462 0.448
15 0.448 0.444
16 0.440 0.430
17 0.436 0.444
18 0.452 0.450
19 0.462 0.460
20 0.468 0.458
21 0.470 0.456
22 0.468 0.454
23 0.466 0.452
24 0.464 0.450
25 0.462 0.448
26 0.460 0.446
27 0.458 0.444
28 0.460 0.442
29 0.462 0.440
30 0.464 0.438
31 0.454 0.439
32 0.458 0.440
33 0.462 0.441
34 0.466 0.442
35 0.470 0.443
36 0.474 0.467
37 0.478 0.477
38 0.482 0.475
39 0.486 0.476
40 0.498 0.477
41 0.500 0.465
42 0.502 0.476
43 0.504 0.474
44 0.506 0.477
45 0.508 0.474
46 0.510 0.476
47 0.512 0.467
48 0.514 0.475
49 0.516 0.466
50 0.518 0.475
